nk,sk,tcg,name,set,sf,ck,mp
gemstonemine,dominariaremastered,3.4,Gemstone Mine,Dominaria Remastered,ee152618-761f-43b4-942a-f63b16c182cc,4.99,2.63
talismanofdominance,archenemynicolbolas,3.41,Talisman of Dominance,Archenemy: Nicol Bolas,43ec73b2-4215-4e30-ad6d-1764879030f4,3.49,4.55
talismanofindulgence,starterdecks,3.43,Talisman of Indulgence,Starter Commander Decks,09d2ef86-06e5-4857-9a2e-570871573298,3.49,2.6
aethervial,doublemasters2022,3.45,Aether Vial,Double Masters 2022,11e8d2fd-b132-4807-9410-8edeffa519ed,3.49,3.25
snowcoveredisland,iceage,3.45,Snow-Covered Island,Ice Age,ad8b77cf-b53e-4da3-9c27-3851b7b25a98,3.99,3.61
vesuva,timespiralremastered,3.46,Vesuva,Time Spiral: Remastered,0726f70a-c1c4-4edb-86fb-9be280d9ea73,4.49,3.53
eidolonofrhetoric,jumpstart2022,3.46,Eidolon of Rhetoric,Jumpstart 2022,8f9ad5c0-a343-4d1a-9a85-1f4d5fa64079,3.49,1.88
grafdiggerscage,coreset2020,3.46,Grafdigger's Cage,Core Set 2020,0a135e09-b534-4836-9a10-3a9a4a9f8c53,3.49,2.08
geierreachsanitarium,eldritchmoon,3.46,Geier Reach Sanitarium,Eldritch Moon,96093739-fedc-4d8f-a29d-0e57f571e5a9,4.49,1.56
witchenchanter,modernhorizons3,3.47,Witch Enchanter,Modern Horizons 3,62061e7c-cf19-4f03-b8fa-2bdba62d6b0b,6.49,3.33
marvinmurderousmimic,duskmournhouseofhorror,3.47,"Marvin, Murderous Mimic",Duskmourn: House of Horror,66898970-b99b-48f2-9240-68c301c95500,4.99,3.32
talismanofindulgence,archenemynicolbolas,3.48,Talisman of Indulgence,Archenemy: Nicol Bolas,243253fb-5fca-401f-9363-c152a5943e13,4.99,3.55
yurikothetigersshadow,masters,3.5,"Yuriko, the Tiger's Shadow",Commander Masters,fe9be3e0-076c-4703-9750-2a6b0a178bc9,3.99,3.17
obliterate,8thedition,3.51,Obliterate,8th Edition,c85f9623-5900-473c-a3b1-f98473b9a545,3.99,4.67
talismanofcreativity,warhammer40000,3.51,Talisman of Creativity,"Universes Beyond: Warhammer 40,000",33ae73bc-fac3-4c15-9863-117caa30e4aa,3.49,3.64
greatfurnace,2021,3.54,Great Furnace,Commander 2021,f0ac295e-93e4-490b-b8a3-a9794c7f56e4,4.49,2.98
collectorouphe,modernhorizons,3.56,Collector Ouphe,Modern Horizons,085107a2-c1ec-473c-81d8-23e5a7197776,3.99,2.08
needlevergepathway,zendikarrising,3.59,Needleverge Pathway,Zendikar Rising,6559047e-6ede-4815-a3a0-389062094f9d,4.99,4.04
talismanofcreativity,masters,3.59,Talisman of Creativity,Commander Masters,8ebb2086-3d9c-4322-bd3f-1366a4354578,2.99,3.06
valleyfloodcaller,bloomburrow,3.6,Valley Floodcaller,Bloomburrow,90b12da0-f666-471d-95f5-15d8c9b31c92,5.49,3.6
ponder,lorwyn,3.61,Ponder,Lorwyn,ba6b6fc5-5077-4812-b8e9-906783dbaf67,4.49,3.08
flareofdenial,modernhorizons3,3.61,Flare of Denial,Modern Horizons 3,71a98efb-9b0a-496b-ac21-8d70527ea544,5.49,3.02
curseofopulence,2017,3.62,Curse of Opulence,Commander 2017,e23db9d3-d11f-4b2c-8349-687bc0e9d4c2,5.49,4.03
throatslitter,planechase2012,3.62,Throat Slitter,Planechase 2012,3244bb0f-bbc7-4b5b-a9b6-78eb06da241b,2.99,4.67
eldritchevolution,eldritchmoon,3.63,Eldritch Evolution,Eldritch Moon,efcb00e5-2caa-45c8-ad19-05d45c683d16,5.99,3.12
croprotation,dueldecksnissavsobnixilis,3.63,Crop Rotation,Duel Decks: Nissa vs. Ob Nixilis,15c34f32-49d9-4a0d-83b2-28172f54fdd1,4.49,3.73
talismanofcreativity,2021,3.64,Talisman of Creativity,Commander 2021,14a506e4-9a46-4499-a986-eb258e809344,3.49,2.57
eternalwitness,fifthdawn,3.66,Eternal Witness,Fifth Dawn,c7e10ca7-1e5d-4224-82cf-798a4d436d72,2.79,3.64
forest,unstable,3.67,Forest,Unstable,f8772631-d4a1-440d-ac89-ac6659bdc073,4.49,3.21
talismanofindulgence,fallout,3.68,Talisman of Indulgence,Universes Beyond: Fallout,113410ff-d25e-4f25-a6c2-236bcf4c8486,4.99,2.84
brainstorm,mercadianmasques,3.71,Brainstorm,Mercadian Masques,9ff71d13-c4b7-4125-ab10-db4abbb7a074,3.99,2.14
mishrasbauble,coldsnap,3.71,Mishra's Bauble,Coldsnap,8a720448-017f-4f4a-9501-678245eaed17,4.49,2.91
aethervial,iconicmasters,3.72,Aether Vial,Iconic Masters,c14cdc38-dd46-495e-93bd-d2694b64d5ad,3.99,3.87
kessigflamebreather,innistradcrimsonvow,3.73,Kessig Flamebreather,Innistrad: Crimson Vow,303ad78a-b02a-44dc-afe6-7f95781a5062,5.49,3.53
talismanofindulgence,doctorwho,3.74,Talisman of Indulgence,Universes Beyond: Doctor Who,3f1e2fad-0aab-4ead-9b25-509c83ad4a93,2.99,2.29
battlefieldforge,9thedition,3.75,Battlefield Forge,9th Edition,d5064361-a8c7-4002-908a-992252641572,2.49,3.9
curseofopulence,legendsbattleforbaldursgate,3.75,Curse of Opulence,Commander Legends: Battle for Baldur's Gate,440acae3-aadb-40f0-a608-d1d93578c6b0,4.49,4.41
mutavault,legendsbattleforbaldursgate,3.76,Mutavault,Commander Legends: Battle for Baldur's Gate,52cc2f10-142d-4e6a-984e-b25f566cc960,6.49,3.99
talismanofcreativity,doctorwho,3.77,Talisman of Creativity,Universes Beyond: Doctor Who,a6104a32-95ba-4003-bd02-12c567631990,3.99,3.33
thrandynamo,2014,3.79,Thran Dynamo,Commander 2014,66820678-d3f0-44c2-9820-438f85a224e2,6.49,4.11
darkritual,mirage,3.79,Dark Ritual,Mirage,1b5fc7ce-0618-4145-b8aa-bc871e4afa99,4.49,3.79
glarbcalamitysaugur,bloomburrow,3.8,"Glarb, Calamity's Augur",Bloomburrow,ffc70b2d-5a3a-49ea-97db-175a62248302,3.49,3.31
croprotation,urzaslegacy,3.81,Crop Rotation,Urza's Legacy,6563f790-862c-465a-b963-7a61f2385516,4.99,3.32
croprotation,doublemasters,3.82,Crop Rotation,Double Masters,4249cc64-f75b-4c76-a41a-5b25873c74bc,3.99,3.38
talismanofindulgence,warhammer40000,3.83,Talisman of Indulgence,"Universes Beyond: Warhammer 40,000",2844e7be-32d2-41dd-9a03-eab9fd09bf14,3.99,3.84
braidsarisennightmare,dominariaunited,3.84,"Braids, Arisen Nightmare",Dominaria United,4ff97c69-6a6b-401c-b0a1-55fa81045d19,5.99,4.06
angelsgrace,timespiralremastered,3.85,Angel's Grace,Time Spiral: Remastered,e78e39ea-20be-4196-992c-7ed2cb8150c1,3.99,3.33
hopeofghirapur,aetherrevolt,3.86,Hope of Ghirapur,Aether Revolt,6f4bcadd-7eff-4294-94d5-52482a734d5b,2.99,2.03
eldritchevolution,innistradremastered,3.87,Eldritch Evolution,Innistrad Remastered,606caf13-c0d3-4a61-9a1a-32f13b6448ab,5.49,2.98
croprotation,dominariaremastered,3.87,Crop Rotation,Dominaria Remastered,523414cb-f8db-407a-808a-01454e03d8b9,4.49,3.35
boltbend,warofspark,3.87,Bolt Bend,War of the Spark,39b35408-3728-4e1b-9f58-b0775df914d6,4.99,2.75
veilofsummer,coreset2020,3.87,Veil of Summer,Core Set 2020,aa686c34-1c11-469f-93c2-f9891aea521f,6.49,3.28
daze,nemesis,3.88,Daze,Nemesis,d03bff25-0d5e-4dcf-8d75-6df846afea3b,2.79,2.17
goblinbombardment,2013,3.9,Goblin Bombardment,Commander 2013,cef7d5ac-d7a4-45a8-b780-6f19e2adc4c6,4.99,4.06
carrionfeeder,eternalmasters,3.93,Carrion Feeder,Eternal Masters,d3e33835-a293-4a1f-85d5-8ac22360ef35,5.49,3.95
emergencezone,warofspark,3.93,Emergence Zone,War of the Spark,ab95f6e7-b806-47fe-a071-6c38b3176d94,5.99,3.74
leylineofthevoid,guildpact,3.94,Leyline of the Void,Guildpact,37dfe8b8-b39e-4e70-9e5b-be42c93b4f70,4.49,4.06
croprotation,secretsofstrixhavenmysticalarchive,3.94,Crop Rotation,Secrets of Strixhaven: Mystical Archive,d5d50e02-80c8-4b7d-9f51-7f1d79f9f263,4.49,3.07
bottlecapblast,fallout,3.95,Bottle-Cap Blast,Universes Beyond: Fallout,8bdceec0-0950-4d52-86fc-d0f04e8487ce,5.99,2.34
dwarvenarmorer,fallenempires,3.96,Dwarven Armorer,Fallen Empires,1d50bf06-97ab-4874-a484-9289f41dc98e,5.99,2.51
carrionfeeder,modernhorizons,3.98,Carrion Feeder,Modern Horizons,0a19da90-880e-4eca-8cf7-6d7baf090d53,4.99,3.56
basaltmonolith,doublemasters,3.98,Basalt Monolith,Double Masters,f79de5e7-1545-420c-bfe1-ee2444fca85b,4.99,3.54
spelunking,lostcavernsofixalan,3.99,Spelunking,The Lost Caverns of Ixalan,d3be4257-2316-4a2e-b347-f71c0368a947,3.99,3.51
gitaxianprobe,newphyrexia,3.99,Gitaxian Probe,New Phyrexia,995486ce-58bb-4753-a812-0ca73ef1a235,4.99,3.34
snap,dueldecksmindvsmight,4.01,Snap,Duel Decks: Mind vs. Might,1959f078-4b7b-4df2-a256-d43b2d97e853,5.49,4.15
dauthivoidwalker,modernhorizons2,4.02,Dauthi Voidwalker,Modern Horizons 2,dce5db87-4a78-4b8d-b5c2-918ccd1ba4e3,6.49,4.84
obliterate,invasion,4.04,Obliterate,Invasion,cdabde40-2143-4677-b7b4-ea8fbf9b1f25,6.49,2.83
fieryislet,doctorwho,4.04,Fiery Islet,Universes Beyond: Doctor Who,daf68138-63c1-4201-998c-eb412463f664,5.49,4.06
throatslitter,planechaseanthology,4.06,Throat Slitter,Planechase Anthology,87126165-2cba-4a24-a3fc-3b5487e89d13,3.99,4.84
narsetsreversal,warofspark,4.06,Narset's Reversal,War of the Spark,63754036-d51e-47bb-925b-564d9dc922ff,3.49,2.07
shivanreef,9thedition,4.08,Shivan Reef,9th Edition,eea38777-e67d-40a5-9301-d4e6d3819899,5.49,7.52
borneuponawind,lordofringstalesofmiddleearth,4.11,Borne Upon a Wind,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,a9379675-1a32-4e2b-8aaf-5f908c595f31,4.99,3.83
liquimetaltorque,modernhorizons2,4.11,Liquimetal Torque,Modern Horizons 2,13c6101a-da40-4785-8ccb-4e779bbbdb55,4.49,3.13
aethervial,modernmasters,4.12,Aether Vial,Modern Masters,6774c646-76d4-4991-a7f3-b753ef200ce5,4.99,3.3
magusofthemoon,timespiralremastered,4.13,Magus of the Moon,Time Spiral: Remastered,7c9bd75c-9606-4607-bfa6-d6acdee12820,4.49,3.89
hickorywoodlot,mercadianmasques,4.16,Hickory Woodlot,Mercadian Masques,af7aafb7-6870-4d09-a191-70786766c459,4.49,4.68
hydroblast,iceage,4.16,Hydroblast,Ice Age,f62716f0-fde2-49ef-b8a4-c1b03f451194,6.99,4.12
mistbladeshinobi,planechase2012,4.18,Mistblade Shinobi,Planechase 2012,2a60b9b8-06ac-415e-8c0a-eb5311d3d3af,1.79,3.38
thrandynamo,archenemy,4.18,Thran Dynamo,Archenemy,fe8120f4-392c-492d-a6db-47576f02328f,7.49,5.15
yurikothetigersshadow,2018,4.18,"Yuriko, the Tiger's Shadow",Commander 2018,3bd81ae6-e628-447a-a36b-597e63ede295,3.99,3.43
surgicalextraction,newphyrexia,4.19,Surgical Extraction,New Phyrexia,dca7e072-edb5-4f7e-bdec-a3a393053c80,4.99,4.29
pyrokinesis,eternalmasters,4.19,Pyrokinesis,Eternal Masters,25f98f02-9ada-4561-93fd-9cfcb0f48b5d,3.49,3.32
thrandynamo,iconicmasters,4.21,Thran Dynamo,Iconic Masters,508a8735-642c-4f22-bbd9-4a189d93e7b7,5.99,3.26
commandtower,collectiongreen,4.23,Command Tower,Commander Collection: Green,3beb6fa5-44db-4056-b8ec-42547aa5581f,4.49,3.12
veilofsummer,secretsofstrixhavenmysticalarchive,4.28,Veil of Summer,Secrets of Strixhaven: Mystical Archive,5724a4a3-dd66-4a66-af8b-5374119ecdfb,6.49,3.41
island,unstable,4.28,Island,Unstable,105b2118-b22c-4ef5-bac7-836db4b8b9ee,4.99,3.1
swamp,unstable,4.3,Swamp,Unstable,f108b0fb-420a-422d-ae85-9a99c0f73169,5.49,4.48
winotajoinerofforces,ikorialairofbehemoths,4.31,"Winota, Joiner of Forces",Ikoria: Lair of Behemoths,5dd13a6c-23d3-44ce-a628-cb1c19d777c4,4.99,4.09
geierreachsanitarium,masters,4.32,Geier Reach Sanitarium,Commander Masters,fc4d0772-35a3-434f-afb5-2137aa4f3dec,3.99,2.43
blindobedience,gatecrash,4.32,Blind Obedience,Gatecrash,07c3e78d-d917-4552-842f-feff99c059e0,6.99,4.68
harmonicprodigy,modernhorizons2,4.34,Harmonic Prodigy,Modern Horizons 2,22579ac0-ad3f-4000-a65a-46a17a7f1aa5,5.99,3.53
plains,jurassicworldcollection,4.34,Plains,Universes Beyond: Jurassic World Collection,6620b5f4-b1e5-4d1b-bbf2-c6ad9c8284c5,4.49,3.01
pithingneedle,saviorsofkamigawa,4.35,Pithing Needle,Saviors of Kamigawa,78eb9e1d-113e-45ff-8435-32ee42fa5631,3.49,4.15
snap,urzaslegacy,4.38,Snap,Urza's Legacy,f7e0549e-2d23-4ea8-b8d1-ae21af2c9091,5.49,3.94
lightningbolt,strixhavenmysticalarchive,4.38,Lightning Bolt,Strixhaven: Mystical Archive,4eaac4fd-95f5-4f38-b593-0101e79a20f9,3.99,3.78
basaltmonolith,2013,4.39,Basalt Monolith,Commander 2013,7770e48e-72e1-4475-a4b5-c1c561a1beaa,5.49,3.9
cleverimpersonator,2019,4.39,Clever Impersonator,Commander 2019,c0516453-3e6a-4b7f-8df6-72a6e207169a,4.99,2.6
darkritual,tempest,4.4,Dark Ritual,Tempest,bf4708e8-2149-4990-987c-2ea55fc6c508,4.49,4.14
gemstonemine,timeshifted,4.41,Gemstone Mine,Timeshifted,26794aa3-7532-4611-a591-51a51e5f9189,6.49,10.39
phantasmalimage,modernmasters2017,4.44,Phantasmal Image,Modern Masters 2017,e7472958-dd1b-48a7-a960-ec2ef3b69ded,6.99,4.62
boltbend,avatarlastairbendereternallegal,4.44,Bolt Bend,Avatar: The Last Airbender: Eternal-Legal,771b9f25-76f8-4da9-b3ab-ee51f4ad32d9,5.99,3.79
phyrexianmetamorph,doublemasters,4.46,Phyrexian Metamorph,Double Masters,d6afeb07-ed44-4e15-99b6-436f8365326f,4.49,2.96
throatslitter,betrayersofkamigawa,4.47,Throat Slitter,Betrayers of Kamigawa,c4dcfdb4-c2ff-4fc5-aa2a-0c6e311d2910,2.79,2.69
talismanofindulgence,mirrodin,4.49,Talisman of Indulgence,Mirrodin,e14011b3-56ce-4b93-833f-d8403809159c,3.99,3.28
darkritual,urzassaga,4.51,Dark Ritual,Urza's Saga,3f0e9d0d-e1a3-4e0a-bf39-e9aaf4d36d67,4.49,4.49
karnthegreatcreator,warofspark,4.55,"Karn, the Great Creator",War of the Spark,3ec0c0fb-1a4f-45f4-85b7-346a6d3ce2c5,5.99,3.57
pathtoexile,timespiralremastered,4.55,Path to Exile,Time Spiral: Remastered,2ee3e42e-120c-468a-988d-4441b6025bbe,5.99,3.11
darkritual,dueldecksphyrexiavscoalition,4.56,Dark Ritual,Duel Decks: Phyrexia vs. the Coalition,5f363f93-be79-46c6-9dee-987d31da157a,5.49,4.56
aethervial,darksteel,4.57,Aether Vial,Darksteel,741c479b-5e92-4837-9673-9bc72aa11d26,5.49,2.86
manamorphose,doublemasters,4.58,Manamorphose,Double Masters,faf9070e-14be-4ce5-a19a-6addc79359c1,5.99,4.97
highfaetrickster,foundations,4.59,High Fae Trickster,Foundations,7f1b93ea-1ec1-4010-9343-765742f5088b,8.99,4.27
goblinbombardment,wildsofeldraineenchantingtales,4.65,Goblin Bombardment,Wilds of Eldraine: Enchanting Tales,e92af114-ad34-4106-a7fa-5676dbcd4960,3.99,2.96
elvesofdeepshadow,guildsofravnicaguildkits,4.65,Elves of Deep Shadow,Guilds of Ravnica: Guild Kits,fd1cd0c9-ab13-48c4-b5bf-942ca75608cd,4.49,3.7
carrionfeeder,dueldecksphyrexiavscoalition,4.66,Carrion Feeder,Duel Decks: Phyrexia vs. the Coalition,083f4ccc-9cfc-44b1-af77-304b65bd878b,6.49,4.36
darkritual,mercadianmasques,4.69,Dark Ritual,Mercadian Masques,a6aacc3e-fe37-4a08-83e6-7ee8c0c0af74,4.99,4.12
brainstorm,strixhavenmysticalarchive,4.7,Brainstorm,Strixhaven: Mystical Archive,11d27509-07c2-4445-a1d5-e56523fb8566,5.99,4.15
temporalmastery,avacynrestored,4.71,Temporal Mastery,Avacyn Restored,266e5267-2288-4bb0-8c54-0c556521cec3,7.49,4.63
windfall,iconicmasters,4.71,Windfall,Iconic Masters,357cf802-2d66-49a4-bf43-ab3bc30ab825,7.99,5.09
rootmaze,10thedition,4.71,Root Maze,10th Edition,727c757a-2ae5-45fd-9832-646a355a5710,6.99,6.02
windfall,2015,4.72,Windfall,Commander 2015,711843d5-307f-4266-b2fe-dd19d93aefbd,8.49,4.94
voltaickey,dueldecksphyrexiavscoalition,4.73,Voltaic Key,Duel Decks: Phyrexia vs. the Coalition,4e1c9ab6-347b-4581-af79-d8105acb8aee,5.99,4.89
swordstoplowshares,anthologies,4.73,Swords to Plowshares,Anthologies,b62e9c2c-62ed-46bf-9c1c-e4dc14e275c6,7.49,6.19
carrionfeeder,scourge,4.74,Carrion Feeder,Scourge,88042031-64af-4f84-85d5-95992b43aa6c,5.49,4.18
nicolbolasdragongod,ravnicaremastered,4.75,"Nicol Bolas, Dragon-God",Ravnica Remastered,c5408607-af8f-48fe-bc40-32828d1976de,5.49,4.14
windfall,2016,4.76,Windfall,Commander 2016,405f5bfd-ff36-40fb-b1fa-128b1d00155b,7.99,5.0
banishingknack,eventide,4.76,Banishing Knack,Eventide,371a769a-ddae-47f6-b2c2-957de5c18417,1.49,1.05
dryadarbor,timespiralremastered,4.76,Dryad Arbor,Time Spiral: Remastered,bb3a843b-2dea-4b44-be74-c09c18b9b969,3.99,4.14
nicolbolasdragongod,warofspark,4.78,"Nicol Bolas, Dragon-God",War of the Spark,98b68dea-a7be-4f99-8a50-4c8cf0e0f7a9,4.49,4.68
thedarknesscrystal,finalfantasy,4.79,The Darkness Crystal,FINAL FANTASY,0f93b6ac-54ce-45d0-8549-19307406e6e5,5.99,4.06
grafdiggerscage,modernmasters2017,4.81,Grafdigger's Cage,Modern Masters 2017,6d03f2e5-c778-4a85-a104-7cf367e5a5ea,3.99,3.38
summonerspact,masters25,4.81,Summoner's Pact,Masters 25,4550b26a-3a73-4724-99d5-1e0a52c36701,5.49,4.62
windfall,,4.82,Windfall,Commander,8d815e5f-ea9b-4926-b38a-ad2112fef1dd,7.49,4.97
karnthegreatcreator,ravnicaremastered,4.84,"Karn, the Great Creator",Ravnica Remastered,deb3721d-fba1-444f-8b31-1cd10c94c4a0,5.99,4.53
gavonytownship,innistrad,4.84,Gavony Township,Innistrad,b5f73443-2fe8-424f-8e71-fc7ce1f3a3eb,7.99,6.15
torpororb,outlawsofthunderjunctionbigscore,4.87,Torpor Orb,Outlaws of Thunder Junction: The Big Score,dbf02a38-d10d-463e-ab99-e7fd848a1bd3,7.99,4.13
dryadarbor,futuresight,4.87,Dryad Arbor,Future Sight,8cee476d-42e1-4997-87af-73e18f542167,5.99,5.1
pheliaexuberantshepherd,modernhorizons3,4.87,"Phelia, Exuberant Shepherd",Modern Horizons 3,55707746-da6e-46e5-a5ca-7ac843fdc38e,8.49,3.64
springheartnantuko,modernhorizons3,4.88,Springheart Nantuko,Modern Horizons 3,54a3ea87-005e-4985-b2a5-21711d0b71c0,6.99,4.1
basaltmonolith,2015,4.89,Basalt Monolith,Commander 2015,e5951ebc-8fee-4305-a776-b2bd751c9818,5.49,3.79
thrandynamo,2019,4.89,Thran Dynamo,Commander 2019,907801dd-179c-4669-b608-d810a7f608fd,4.49,3.9
toxicdeluge,modernhorizons3,4.9,Toxic Deluge,Modern Horizons 3,5aa02b7d-db31-4924-b75e-eb02f332ca3a,6.99,4.85
manamorphose,shadowmoor,4.91,Manamorphose,Shadowmoor,50283122-b8c4-4fb3-8eba-6252b72222f4,7.49,5.15
temporalmastery,innistradremastered,4.92,Temporal Mastery,Innistrad Remastered,0f46a800-b443-461d-87e0-5587249a42d8,6.49,4.38
darkritual,planechase,4.93,Dark Ritual,Planechase,c8c774f2-110e-476c-a4ff-cc86d31c6ae7,6.49,4.83
phyrexianmetamorph,newphyrexia,4.93,Phyrexian Metamorph,New Phyrexia,d2e27911-87cb-49a0-a34f-6afe4bddd592,5.99,3.12
pyrokinesis,alliances,4.94,Pyrokinesis,Alliances,db2a5e85-6cbc-43c1-9362-4056ad017ef0,4.99,4.87
ghostquarter,dissension,4.96,Ghost Quarter,Dissension,893eb7e4-5d8d-477b-aaa7-fb85ef2a54fc,1.49,4.8
giftsungiven,modernmasters2017,4.98,Gifts Ungiven,Modern Masters 2017,4b11f693-716e-41de-a0ea-2a5178a284dc,5.49,4.53
undergroundriver,9thedition,4.99,Underground River,9th Edition,be9395fc-ad8a-494a-a5bc-fea3f55b0e2c,6.49,8.16
windfall,2020,4.99,Windfall,Commander 2020,3484e885-253e-41dc-a541-1576debc9884,7.49,4.67
hydroblast,eternalmasters,5.0,Hydroblast,Eternal Masters,4c9c9b16-5567-4473-95e6-622292f77336,7.49,5.1
kedissemberclawfamiliar,legends,5.0,"Kediss, Emberclaw Familiar",Commander Legends,f606ebf1-483d-4331-b16a-9fb6f591a39f,8.99,5.43
undergroundriver,10thedition,5.01,Underground River,10th Edition,8c298bf7-2514-43d4-a285-1386d6ba0835,7.49,4.98
orimschant,modernhorizons3,5.01,Orim's Chant,Modern Horizons 3,ee241079-1e5a-4224-b9cb-4fd3e0da687c,8.99,4.86
goblinbombardment,tempest,5.02,Goblin Bombardment,Tempest,179e954f-1d90-4ef4-b800-25845cc338e2,5.99,5.12
summonerspact,modernmasters,5.02,Summoner's Pact,Modern Masters,e8948f92-9bd5-4950-b901-6cf1528b5c3f,8.99,8.01
darkritual,dueldecksdivinevsdemonic,5.03,Dark Ritual,Duel Decks: Divine vs. Demonic,c825f254-6f22-4610-85be-4d04275e6601,5.49,5.73
darkritual,dueldecksanthology,5.03,Dark Ritual,Duel Decks: Anthology,43c636bd-9071-4212-8e2e-5d6c6f39f3d1,7.49,4.63
six,modernhorizons3,5.05,Six,Modern Horizons 3,f9246b68-580f-4f53-883d-7900880e4b0d,7.99,4.78
blindobedience,2016,5.07,Blind Obedience,Commander 2016,9bc548e8-22d2-4acd-8673-4efcbc57e754,7.49,4.89
magusofthemoon,iconicmasters,5.07,Magus of the Moon,Iconic Masters,1f685078-c9b3-42aa-be5a-be16be89ecc6,4.99,4.61
dismember,modernmasters2015,5.08,Dismember,Modern Masters 2015,3d286cf6-3e16-4941-9326-1818b1e06d69,3.99,3.54
gush,mercadianmasques,5.1,Gush,Mercadian Masques,e755bbef-bf34-49c0-ae72-d70e3599de52,5.49,4.89
giftsungiven,doublemasters2022,5.1,Gifts Ungiven,Double Masters 2022,cc950b6c-0346-4939-b36b-9f10a75f7a32,5.49,5.11
shiftingwoodland,modernhorizons3,5.11,Shifting Woodland,Modern Horizons 3,059164e1-894d-4586-9800-e60d6fbd6eb6,7.49,3.64
summonerspact,timespiralremastered,5.12,Summoner's Pact,Time Spiral: Remastered,ee0f88ac-8a90-4057-b0e6-c15fbd02da38,4.99,3.63
elvishmystic,timespiralremastered,5.13,Elvish Mystic,Time Spiral: Remastered,4d50fa57-db11-419e-b73b-666a6b25f7de,3.49,3.9
sawinhalf,unfinity,5.13,Saw in Half,Unfinity,05e6a7bc-a35a-4e68-99a0-be264553b5de,6.99,4.78
blightsteppathway,kaldheim,5.15,Blightstep Pathway,Kaldheim,0ce39a19-f51d-4a35-ae80-5b82eb15fcff,7.99,5.99
manamorphose,modernmasters,5.15,Manamorphose,Modern Masters,f079df56-60f9-46e5-8f2e-032e62b6a5f1,6.99,5.3
ephemerate,modernhorizons,5.15,Ephemerate,Modern Horizons,2da5f3f8-5eef-498f-ba2c-2f3fbc3745aa,5.99,5.29
eiganjoseatoftheempire,kamigawaneondynasty,5.16,"Eiganjo, Seat of the Empire",Kamigawa: Neon Dynasty,c375a022-5b57-496d-a802-e4ea8376e9e4,9.99,5.75
windfall,masters,5.16,Windfall,Commander Masters,4448fa01-1f81-41dc-9046-cfae41601bc4,7.99,4.93
beseechthequeen,shadowmoor,5.18,Beseech the Queen,Shadowmoor,64ee0a93-0f6d-42be-bdca-1de5422d8d54,6.49,5.29
gutshot,newphyrexia,5.18,Gut Shot,New Phyrexia,a54a2a30-b96a-49c7-9151-1f4b0d4a4413,8.49,5.38
lastchance,dominariaremastered,5.19,Last Chance,Dominaria Remastered,c0efb595-d407-4389-a99d-d97c4d6bdcd0,4.99,4.79
nivmizzetparun,guildsofravnica,5.19,"Niv-Mizzet, Parun",Guilds of Ravnica,6f3d2dc5-7b9d-4af6-9f3b-4de90fbf63c9,6.49,5.06
elvishspiritguide,alliances,5.21,Elvish Spirit Guide,Alliances,5b94f37f-ebdf-4b79-a615-58331d27cf4e,4.99,4.29
thrandynamo,masters,5.22,Thran Dynamo,Commander Masters,7ce5f12e-fc02-42f8-a5ca-b523050d4650,3.99,3.73
graymerchantofasphodel,timespiralremastered,5.22,Gray Merchant of Asphodel,Time Spiral: Remastered,5be62041-fec2-44e0-aec9-5368d1c7f1da,4.99,3.62
darkritual,iceage,5.22,Dark Ritual,Ice Age,4ebcd681-1871-4914-bcd7-6bd95829f6e0,4.49,4.14
greatfurnace,planechase,5.22,Great Furnace,Planechase,1a666f1b-f62f-45f5-b5d1-33317578601a,4.99,4.42
naturesrhythm,tarkirdragonstorm,5.22,Nature's Rhythm,Tarkir: Dragonstorm,1397d904-c51d-451e-8505-7f3118acc1f6,6.99,4.07
sylvansafekeeper,modernhorizons3,5.26,Sylvan Safekeeper,Modern Horizons 3,83036e21-21ea-4324-aa07-11757f80c417,7.99,5.21
lastchance,starter1999,5.26,Last Chance,Starter 1999,3a6bf322-2374-478a-a291-4bc036f05aaf,14.99,8.64
bladehistorian,strixhavenschoolofmages,5.27,Blade Historian,Strixhaven: School of Mages,a46d64ec-aca4-428e-bce6-66cd755c8cc3,7.99,5.09
teferiwhoslowsthesunset,innistraddoublefeature,5.29,"Teferi, Who Slows the Sunset",Innistrad: Double Feature,ad840d1e-31df-4e6f-bae5-c68978d33132,5.99,4.15
gutshot,modernmasters2015,5.3,Gut Shot,Modern Masters 2015,461987da-8860-4a04-8f93-d182523ca311,8.49,4.98
suddensubstitution,2019,5.31,Sudden Substitution,Commander 2019,9f7983bf-2a3b-4428-8c01-35285f589da8,6.99,5.15
endurance,modernhorizons2,5.35,Endurance,Modern Horizons 2,eb0e0404-4846-4891-acfa-bd0951ecf9c6,8.49,5.21
gavonytownship,2020,5.4,Gavony Township,Commander 2020,74d53774-f654-4c86-9261-b676d332e41e,7.49,4.88
wishclawtalisman,throneofeldraine,5.4,Wishclaw Talisman,Throne of Eldraine,07c17b01-ee5d-491a-8403-b3f819b778c4,3.99,2.79
pyreticritual,secretsofstrixhavenmysticalarchive,5.4,Pyretic Ritual,Secrets of Strixhaven: Mystical Archive,e4507ef5-0d30-42ca-b305-f99c6e10432b,7.99,4.65
vesuva,timespiral,5.45,Vesuva,Time Spiral,82fc9498-7397-4857-87fe-7c9010944ed8,5.99,4.04
