nk,sk,tcg,name,set,sf,ck,mp
plunderingbarbarian,adventuresinforgottenrealms,0.27,Plundering Barbarian,Adventures in the Forgotten Realms,d875881c-c285-47f1-8a37-e4a0239d47ec,0.39,0.15
liberateddwarf,judgment,0.27,Liberated Dwarf,Judgment,e2c07842-9b70-40b1-9b97-9a9279b7ebc4,0.35,0.26
dwarvengrunt,odyssey,0.27,Dwarven Grunt,Odyssey,6f00d726-4289-48ff-8c14-6a5080a00fda,0.39,0.28
abrade,legends,0.27,Abrade,Commander Legends,d27d5b87-6dfc-4b99-822b-f6f8489ad275,0.35,0.15
stranglerootgeist,darkascension,0.27,Strangleroot Geist,Dark Ascension,bf1fb137-205c-480f-b6dc-dfa137793ae3,0.35,0.15
ornithopter,dominariaremastered,0.28,Ornithopter,Dominaria Remastered,305078a5-ac18-4721-bba2-3434eba5b1cf,0.69,0.17
auratouchedmage,planechase2012,0.28,Auratouched Mage,Planechase 2012,28c2d4ee-c3cf-4faf-97ef-415d0253fd72,0.49,0.26
trickerycharm,onslaught,0.28,Trickery Charm,Onslaught,32a2ee45-7f1d-40a8-82b4-ab3b705417ea,0.59,0.26
mishrasfactory,modernhorizons2,0.28,Mishra's Factory,Modern Horizons 2,9e5d6972-3f64-486c-a325-7351b910dafe,0.35,0.15
swamp,coreset2021,0.28,Swamp,Core Set 2021,30b3d647-3546-4ade-b395-f2370750a7a6,0.49,0.15
felothardawnoftheabzan,tarkirdragonstorm,0.28,"Felothar, Dawn of the Abzan",Tarkir: Dragonstorm,83e11f20-6524-4fba-9603-0b97e2d69aac,0.49,0.15
mindstone,2015,0.28,Mind Stone,Commander 2015,eed69870-1a65-4bec-842c-e837348493c6,0.79,0.29
skirgefamiliar,modernhorizons2,0.28,Skirge Familiar,Modern Horizons 2,2d92fcf1-2ccd-47d2-9a24-f44b766a0b68,0.99,0.15
skyclaveapparition,zendikarrising,0.28,Skyclave Apparition,Zendikar Rising,b83cfbaa-7890-4f6f-878b-4edb45677371,0.49,0.15
threetreemascot,bloomburrow,0.28,Three Tree Mascot,Bloomburrow,aaced75b-6e07-457c-8ea2-f74d99710d15,0.35,0.15
loyalapprentice,masters,0.28,Loyal Apprentice,Commander Masters,95a692fb-7ef7-4fae-b258-8719711cf38c,0.49,0.19
abrade,starterdecks,0.28,Abrade,Starter Commander Decks,778fad36-28d5-488b-bc7a-e60c8646bdc2,0.35,0.15
mishrasfactory,eternalmasters,0.29,Mishra's Factory,Eternal Masters,f305f103-746b-4406-b569-1a7dc32beee7,0.49,0.26
mishrasfactory,dueldeckselspethvstezzeret,0.29,Mishra's Factory,Duel Decks: Elspeth vs. Tezzeret,ade01a16-65f1-4b50-ab9a-98e9bbf9f57d,0.79,0.28
taxcollector,assassinscreed,0.29,Tax Collector,Universes Beyond: Assassin's Creed,a300b5af-9223-4e97-9d33-a9226bd900f3,0.59,0.15
conduitpylons,outlawsofthunderjunction,0.29,Conduit Pylons,Outlaws of Thunder Junction,5ffa48cc-b991-4d47-b7ec-cf678915c758,0.79,0.15
phyrexianrevoker,mirrodinbesieged,0.29,Phyrexian Revoker,Mirrodin Besieged,7c7bec21-61b0-4e72-848b-82f38e1910e0,0.59,0.3
retractionhelix,bornofgods,0.29,Retraction Helix,Born of the Gods,4fe8c0b9-fdf4-4fc0-aa7c-774546cdd792,0.35,0.15
rishkarpeemarenegade,foundationsjumpstart,0.3,"Rishkar, Peema Renegade",Foundations Jumpstart,e81eddc2-8311-4618-849d-3717cdf83681,0.69,0.26
mindstone,dueldeckszendikarvseldrazi,0.3,Mind Stone,Duel Decks: Zendikar vs. Eldrazi,0eebe138-f638-4e8a-820e-ecdada7cc586,0.99,0.31
