Price,CardKingdom_pct,ManaPool_pct,Volume
4.64,50.6,-24.1,106560
4.64,29.1,-12.5,105272
4.71,48.4,27.8,70649
4.75,-16.0,-28.0,88894
4.76,-72.9,-77.9,99806
4.79,25.1,-15.2,105935
4.85,64.7,-4.1,104281
4.87,33.3,-11.5,90025
4.87,74.3,-14.8,105905
4.87,43.5,-19.7,96258
4.87,43.5,2.7,106329
4.88,43.2,-16.0,106055
4.88,84.2,-3.9,102061
4.9,63.1,0.8,104952
4.92,21.7,-27.0,83212
4.93,102.6,16.2,106172
4.97,40.6,-8.0,76948
5.0,79.8,8.6,105595
5.01,79.4,-3.0,105851
5.05,58.2,-5.3,105830
5.08,-31.3,-63.0,72956
5.09,7.9,-36.5,102968
5.1,7.6,-9.2,94360
5.11,46.6,-28.8,105861
5.12,-12.3,-39.1,96097
5.13,36.3,-6.8,96292
5.15,16.3,1.2,106384
5.16,93.6,4.5,103283
5.19,5.8,-43.7,104782
5.19,-13.5,-49.5,88097
5.22,33.9,-22.0,105058
5.22,33.9,-6.5,83677
5.26,51.9,-1.0,105770
5.27,51.6,-3.4,101933
5.3,60.2,-6.0,103717
5.31,31.6,-3.0,99570
5.5,-18.4,-2.7,94360
5.54,44.2,-3.2,98645
5.54,62.3,-24.9,103878
5.55,35.0,-17.5,101711
5.57,43.4,-3.2,101220
5.58,-59.0,-86.4,94731
5.74,4.4,4.4,88251
5.74,56.6,-18.6,106647
5.74,65.3,8.7,86008
5.76,-30.7,-56.8,82960
5.79,12.1,-10.4,97078
5.79,38.0,-6.6,104658
5.83,28.5,-42.0,95982
5.84,-23.1,-57.0,83800
5.84,53.9,-10.8,102451
5.88,10.4,-23.5,101025
5.94,0.8,-12.6,101826
5.98,-33.3,-55.0,81722
5.99,58.4,11.9,91075
5.99,0.0,-22.2,97658
6.0,-41.8,-74.3,87566
6.03,24.2,-13.6,102150
6.22,28.5,-36.5,104956
6.24,28.0,-9.9,103650
6.29,-20.7,-33.9,33843
6.3,-20.8,-27.1,70925
6.36,33.5,-7.9,95557
6.38,40.9,-31.5,105587
6.39,-6.3,-31.9,90352
6.39,72.0,-5.6,104929
6.4,24.8,-9.2,101752
6.43,39.8,3.1,104072
6.51,22.7,-16.0,89817
6.53,45.3,3.4,98586
6.54,37.5,-40.5,105649
6.55,44.9,16.0,84620
6.66,50.0,-12.9,103046
6.66,-2.6,1.5,50838
6.66,80.0,1.5,95949
6.67,-32.7,-61.0,68912
6.69,34.4,-20.8,104956
6.75,-18.7,-39.9,100205
6.77,62.3,-15.7,105661
6.87,38.1,-6.8,100252
6.9,131.7,16.8,106068
6.93,15.3,-22.2,100745
7.01,85.3,1.7,106510
7.12,-29.9,-56.0,95557
7.23,3.6,-23.8,86412
7.28,51.0,-0.8,104991
7.4,62.0,5.5,95118
7.43,34.5,0.9,102131
7.5,59.9,-11.9,105796
7.5,26.5,-1.2,97482
7.51,33.0,142.1,77998
7.56,58.6,4.0,104730
7.59,18.4,-5.9,97300
7.59,31.6,-4.0,101442
7.71,-9.3,-17.0,98463
7.73,55.1,-5.7,102235
7.73,42.2,-8.0,106395
7.77,2.8,3.1,97336
7.8,40.9,0.0,102196
7.83,40.4,-5.1,106089
7.92,64.0,-1.5,105168
7.96,50.6,4.1,100626
8.12,47.7,7.5,89884
8.13,-26.3,-27.1,82573
8.14,59.6,8.7,104197
8.17,-26.7,1.3,96292
8.18,46.6,-10.9,106350
8.19,15.9,-12.3,85908
8.2,70.6,1.0,104984
8.27,57.1,-23.6,103383
8.36,19.5,-37.7,95408
8.36,-16.4,-1.7,103096
8.39,-4.8,-35.5,76948
8.4,18.9,-1.2,106142
8.4,66.5,-13.3,93756
8.48,-11.7,-27.1,87566
8.5,-11.9,-54.1,101730
8.51,-0.2,-26.6,93224
8.62,27.5,-15.4,103006
8.62,-7.3,-29.5,102365
8.62,10.1,-3.4,99672
8.71,60.6,-0.6,106038
8.77,2.5,-19.6,92101
8.81,36.1,-17.3,102081
8.93,-77.7,-80.1,48199
8.97,33.7,-23.5,102752
9.12,42.4,-39.9,104483
9.19,52.2,-17.6,100238
9.28,29.2,-21.1,95039
9.32,50.1,2.3,103712
9.39,80.9,-11.3,100385
9.44,-4.8,-48.5,94527
9.58,46.0,-7.6,103929
9.72,23.4,-19.9,88422
9.89,11.1,-21.1,103567
9.94,10.6,-5.9,100607
9.95,60.7,-1.7,104330
9.95,50.7,-6.1,103800
9.96,60.5,4.4,106570
9.99,70.1,-2.5,106222
10.07,58.8,1.7,104594
10.1,68.2,-7.7,106012
10.1,68.2,3.0,103637
10.17,-55.9,-64.3,100134
10.26,26.6,-11.3,104549
10.36,-8.4,-38.7,99900
