n_cards,order_value_mean,cardkingdom_gap_mean,cardkingdom_gap_p10,cardkingdom_gap_p90,cardkingdom_subgap_mean,cardkingdom_win_rate,manapool_gap_mean,manapool_gap_p10,manapool_gap_p90,manapool_subgap_mean,manapool_win_rate
61,2433.58505,28.843554441784075,20.92170919280886,38.35071673472179,29.25503213901644,0.0,-14.467447243934217,-21.692480093058524,-6.041278350721895,-14.188807205307612,98.625
62,2499.3918,28.855580743976752,20.487826210781723,38.947918362384264,29.247351208594782,0.0,-15.039290172197266,-22.504035207621325,-6.385203680466752,-14.776766032605613,98.625
63,2492.2879875000003,28.65702524760887,21.011039246844543,37.96189685048323,29.038054718090265,0.0,-14.355303950381959,-21.653014192002967,-6.138858398463636,-14.096645031535548,98.875
64,2534.3880125,29.24111383307768,20.854080284765633,38.77291676908738,29.6154735539805,0.0,-14.049689986703884,-21.877906761667337,-4.9762423128927065,-13.795873048287952,98.625
65,2498.5923,28.74111929143855,20.666903526789007,37.49199554365487,29.20745724649742,0.0,-14.403830682884168,-21.831481418153007,-6.662307029453056,-14.088825101118609,98.625
66,2574.2910125,28.955530819915783,21.148930203370007,38.09342688930488,29.40917737412442,0.0,-14.102561628412646,-21.346473925873976,-5.282796650495075,-13.794604584441922,97.625
67,2629.9994999999994,28.703717441006496,20.840335201815137,37.52586259649477,29.131050789538513,0.0,-14.157706311477636,-21.228388609116912,-6.363199043168816,-13.867904242056282,99.25
68,2645.9153749999996,28.507322362589058,21.000140947651733,37.35453931678464,28.925582383007818,0.0,-14.62127989380123,-21.770541927217597,-6.796986352510664,-14.33894274649339,99.25
69,2653.5810124999994,28.665236497212938,20.803863892081438,37.14699453604226,29.076674084988362,0.0,-14.510465178421931,-21.394170907693525,-6.592830106915737,-14.2323764723395,99.375
70,2739.167675,28.68228430851549,20.88087154415057,37.054391318371046,29.08111030011414,0.0,-14.49658997169985,-21.351678837674925,-6.644678751103248,-14.22722810429992,99.625
71,2816.8849625,28.836105291693876,21.574011707460205,36.91548907586933,29.20903914923312,0.0,-14.654432516560087,-21.572884119605387,-6.924503945407645,-14.403622024899768,99.625
72,2787.39525,28.659881002864278,21.414945503337393,36.89441443819761,29.029927837096015,0.0,-14.714631811520666,-21.637279556181504,-6.847073812303779,-14.465285416526008,99.25
73,2897.4087624999997,28.66883211786511,21.08167133375083,36.555053038542795,29.10068064129316,0.0,-14.637599528837173,-21.370651412367767,-7.479063801023987,-14.34676112901032,98.625
74,2888.9906875,28.618962070991174,21.310204938788758,37.34864098652267,29.04241300603936,0.0,-14.583213190459146,-21.133149655887163,-7.425184313344418,-14.297689593112619,99.375
75,2993.662825,28.836329616188934,21.032794020259992,36.98869827767004,29.24901205142579,0.0,-14.388074542494799,-21.24862547118767,-6.313192489869529,-14.108985661389184,99.125
76,2959.7143500000006,28.46797361216789,21.01418477151063,36.95349388495336,28.872987342087818,0.0,-14.280596371090521,-21.077407383267598,-7.012515635890616,-14.006151588476282,98.75
77,3079.5681375000004,29.135477333107318,21.76290857366867,37.69877459194207,29.51298183008646,0.0,-15.09519894771908,-21.67038431636609,-7.293505964254665,-14.843541253675822,99.625
78,3075.1097125,28.67095809172845,21.547922844722606,37.32902154808874,29.046455496330942,0.0,-14.58319147835677,-21.463046189786734,-7.422435514190252,-14.330646279542442,99.125
79,3091.0818625,28.867463442588598,21.45549076407427,37.120755870126466,29.24094868954882,0.0,-13.957719846327945,-20.3149103433833,-6.8246320973756935,-13.704318141203716,98.75
80,3152.7088375000003,28.349328535399145,21.3147289731796,36.163809455053084,28.70671406776335,0.0,-14.57648844729335,-21.043596393390025,-7.073458086585463,-14.334981909187587,99.25
81,3151.0530375000003,28.12329676637959,21.317284452800372,35.79440041154809,28.544256082255473,0.0,-14.994866271365757,-21.548770295428106,-8.093655788317577,-14.711723645141118,99.75
82,3230.3589374999997,28.83658024164002,21.534059384013762,37.386687945348676,29.252538874340463,0.0,-14.847371957992715,-21.122320918892964,-8.151124434794118,-14.56867952655752,99.625
83,3250.9359375,28.496788658225352,21.60204993183488,36.65669782496761,28.90206589156207,0.0,-14.851401354253685,-21.292396586072645,-7.656790421562924,-14.57858212336109,99.5
84,3314.4904874999997,28.626589119151166,21.538883796328605,36.851590386403714,29.01213347397796,0.0,-14.846501180524319,-21.290648386501253,-8.111513188047907,-14.587441231697257,99.125
85,3279.3724875,28.45434853889492,21.70160880022144,36.2023496327724,28.83984994235802,0.0,-14.86713926005183,-21.02916307947689,-8.316693644637573,-14.608158531993974,99.625
86,3374.2572499999997,28.598651520358203,21.72895095329806,37.02791576135971,28.97051595113815,0.0,-14.88072666304249,-20.916317464283548,-8.226988283405346,-14.630991665649812,99.375
87,3383.6232625,28.781643249639647,21.594067950867743,36.42377768395572,29.143578182232606,0.0,-14.8132689688587,-21.123607576911393,-8.220132896482207,-14.570500860711864,99.25
88,3432.7599625,28.75005678804241,22.00508118290285,36.4307457329319,29.103832048147932,0.0,-15.0737977663096,-21.07625831320998,-8.65471064866693,-14.837266434940263,99.375
89,3486.0165375000006,28.50856881640223,21.63960043036043,36.452607291914624,28.923675583185688,0.0,-14.745695475289194,-20.959210300869742,-8.319893415433949,-14.466182127664288,99.25
90,3492.464325,28.25501658323074,21.554684996166582,36.03946843836541,28.655984753046447,0.0,-15.147098397030481,-21.192096245664462,-8.35358944168513,-14.877927747452368,99.75
91,3510.7235125,28.615050028158894,21.329083491432495,36.087847479759276,29.014940872490083,0.0,-14.897802345216983,-20.667611969590727,-8.41475176772778,-14.629812277978221,99.875
92,3553.3031874999997,28.55994841446016,21.7478110747069,36.07739779320268,28.948649611663505,0.0,-14.912023701222829,-21.153649063013457,-8.48414814970305,-14.6516975247386,99.375
93,3661.5601625,29.167183071673502,22.488820845380914,36.749757684120745,29.53782024517398,0.0,-14.836575640069302,-20.911660704950883,-8.110035764886707,-14.588862435275633,99.625
94,3649.5039,28.622438275546173,22.019886680412718,36.257089671131766,28.99241835171462,0.0,-14.713168211068496,-20.49779373769867,-7.808556900056654,-14.465091009036948,99.75
95,3718.5734125,28.509080043634196,22.12973011655284,35.373238000900955,28.86608888305683,0.0,-15.127710682377588,-20.94355876966796,-8.904910343912437,-14.889490030628503,99.625
