,tcgplayer,cardkingdom,manapool,name,set,nk
499691,1.73,2.29,1.29,Sulfurous Springs,Commander: The Lord of the Rings: Tales of Middle-earth,sulfuroussprings
499750,8.68,13.99,8.8,Swan Song,Commander: The Lord of the Rings: Tales of Middle-earth,swansong
499538,1.62,2.49,1.35,Swords to Plowshares,Commander: The Lord of the Rings: Tales of Middle-earth,swordstoplowshares
499820,0.41,0.99,0.39,Talisman of Progress,Commander: The Lord of the Rings: Tales of Middle-earth,talismanofprogress
499504,6.1,6.99,4.8,Toxic Deluge,Commander: The Lord of the Rings: Tales of Middle-earth,toxicdeluge
499695,1.64,3.99,1.49,Underground River,Commander: The Lord of the Rings: Tales of Middle-earth,undergroundriver
498305,5.85,7.99,5.21,"Boromir, Warden of the Tower",Universes Beyond: The Lord of the Rings: Tales of Middle-earth,boromirwardenofthetower
498680,3.98,4.99,3.8000000000000003,Borne Upon a Wind,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,borneuponawind
498414,30.29,37.99,27.66,Delighted Halfling,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,delightedhalfling
498609,0.36,0.79,0.15,Ioreth of the Healing House,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,iorethofthehealinghouse
498682,12.37,16.99,12.49,"Lotho, Corrupt Shirriff",Universes Beyond: The Lord of the Rings: Tales of Middle-earth,lothocorruptshirriff
488273,7.5,9.49,7.42,Mount Doom,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,mountdoom
498367,49.59,54.99,47.660000000000004,Orcish Bowmasters,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,orcishbowmasters
498377,0.34,0.39,0.15,Rosie Cotton of South Lane,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,rosiecottonofsouthlane
487805,105.96,129.99,99.0,The One Ring,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,theonering
495610,26.64,37.99,27.490000000000002,"Nissa, Resurgent Animist",March of the Machine: The Aftermath,nissaresurgentanimist
495606,18.32,19.99,16.67,"Ob Nixilis, Captive Kingpin",March of the Machine: The Aftermath,obnixiliscaptivekingpin
495617,0.3,0.59,0.15,Reckless Handling,March of the Machine: The Aftermath,recklesshandling
495646,8.81,11.99,8.53,Training Grounds,March of the Machine: The Aftermath,traininggrounds
491372,0.75,0.99,0.46,Arcane Signet,Commander: March of the Machine,arcanesignet
491586,0.76,0.79,0.36,Chaos Warp,Commander: March of the Machine,chaoswarp
491508,0.44,0.49,0.38,Cloud of Faeries,Commander: March of the Machine,cloudoffaeries
491395,0.41,0.59,0.25,Command Tower,Commander: March of the Machine,commandtower
491593,3.93,4.49,2.45,Curse of Opulence,Commander: March of the Machine,curseofopulence
491380,0.26,0.49,0.15,Exotic Orchard,Commander: March of the Machine,exoticorchard
491445,1.24,1.79,0.77,Fellwar Stone,Commander: March of the Machine,fellwarstone
491621,5.22,6.99,4.68,Gavony Township,Commander: March of the Machine,gavonytownship
491791,2.57,1.79,1.82,Incubation Druid,Commander: March of the Machine,incubationdruid
491481,,,,Island,Commander: March of the Machine,island
491373,0.35,0.79,0.25,Mind Stone,Commander: March of the Machine,mindstone
491693,1.52,2.49,1.33,Path to Exile,Commander: March of the Machine,pathtoexile
491480,,,,Plains,Commander: March of the Machine,plains
491682,0.39,0.69,0.23,"Rishkar, Peema Renegade",Commander: March of the Machine,rishkarpeemarenegade
491353,3.31,2.99,1.99,Sculpting Steel,Commander: March of the Machine,sculptingsteel
491375,1.74,2.49,1.49,Sol Ring,Commander: March of the Machine,solring
491387,0.31,0.49,0.23,Spire of Industry,Commander: March of the Machine,spireofindustry
491426,1.61,2.79,1.3900000000000001,Swords to Plowshares,Commander: March of the Machine,swordstoplowshares
491376,0.91,1.29,0.52,Talisman of Hierarchy,Commander: March of the Machine,talismanofhierarchy
491514,0.31,0.35,0.15,"Tetsuko Umezawa, Fugitive",Commander: March of the Machine,tetsukoumezawafugitive
484655,47.74,57.99,48.67,"Ragavan, Nimble Pilferer",March of the Machine: Multiverse Legends,ragavannimblepilferer
491830,0.2,0.35,0.15,"Tetsuko Umezawa, Fugitive",March of the Machine: Multiverse Legends,tetsukoumezawafugitive
490409,0.56,0.69,0.42,"Thalia, Guardian of Thraben",March of the Machine: Multiverse Legends,thaliaguardianofthraben
492820,12.28,16.99,11.450000000000001,Faerie Mastermind,Promo Pack: March of the Machine,faeriemastermind
492829,5.66,7.49,6.19,Hoarding Broodlord,Promo Pack: March of the Machine,hoardingbroodlord
484539,12.2,14.99,10.200000000000001,Faerie Mastermind,March of the Machine,faeriemastermind
491763,0.16,0.35,0.15,Flywheel Racer,March of the Machine,flywheelracer
490572,5.54,7.49,4.5200000000000005,Hoarding Broodlord,March of the Machine,hoardingbroodlord
490335,12.14,15.99,12.3,Invasion of Ikoria,March of the Machine,invasionofikoria
490384,0.33,0.35,0.15,Negate,March of the Machine,negate
484510,,,,Brainstorm,Secret Lair Showdown,brainstorm
503225,11.29,9.99,10.82,An Offer You Can't Refuse,Secret Lair Showdown,anofferyoucantrefuse
528385,,,,Dark Ritual,Secret Lair Showdown,darkritual
489673,10.86,9.49,11.76,Eldritch Evolution,Secret Lair Showdown,eldritchevolution
688476,24.1,20.99,21.29,Emberheart Challenger,Secret Lair Showdown,emberheartchallenger
484511,,,,Fatal Push,Secret Lair Showdown,fatalpush
603078,7.08,6.99,7.07,Force of Despair,Secret Lair Showdown,forceofdespair
562026,,,,Lightning Bolt,Secret Lair Showdown,lightningbolt
540040,5.34,5.99,4.09,Ponder,Secret Lair Showdown,ponder
484512,,,,"Ragavan, Nimble Pilferer",Secret Lair Showdown,ragavannimblepilferer
648267,1.0,0.79,0.77,Shoot the Sheriff,Secret Lair Showdown,shootthesheriff
537911,1.24,0.99,1.04,Springleaf Drum,Secret Lair Showdown,springleafdrum
688475,4.64,7.49,4.58,Sowing Mycospawn,Secret Lair Showdown,sowingmycospawn
528387,,,,Spell Pierce,Secret Lair Showdown,spellpierce
557849,9.33,8.49,5.99,Swords to Plowshares,Secret Lair Showdown,swordstoplowshares
481626,31.69,22.99,32.17,All Will Be One,Promo Pack: Phyrexia: All Will Be One,allwillbeone
483464,5.9,9.99,7.13,Hullbreaker Horror,Promo Pack: Phyrexia: All Will Be One,hullbreakerhorror
481582,3.18,5.49,5.47,"Skrelv, Defector Mite",Promo Pack: Phyrexia: All Will Be One,skrelvdefectormite
481681,1.29,,2.6,Soulless Jailer,Promo Pack: Phyrexia: All Will Be One,soullessjailer
481691,2.08,2.79,1.87,The Mycosynth Gardens,Promo Pack: Phyrexia: All Will Be One,themycosynthgardens
481674,1.79,1.99,,"Tyvar, Jubilant Brawler",Promo Pack: Phyrexia: All Will Be One,tyvarjubilantbrawler
478458,0.77,0.99,0.43,Arcane Signet,Commander: Phyrexia: All Will Be One,arcanesignet
478488,2.19,1.29,0.98,Buried Ruin,Commander: Phyrexia: All Will Be One,buriedruin
478498,0.38,0.59,0.28,Command Tower,Commander: Phyrexia: All Will Be One,commandtower
478567,1.51,1.49,0.87,Culling Ritual,Commander: Phyrexia: All Will Be One,cullingritual
478500,0.26,0.49,0.2,Exotic Orchard,Commander: Phyrexia: All Will Be One,exoticorchard
478462,1.26,1.79,0.9,Fellwar Stone,Commander: Phyrexia: All Will Be One,fellwarstone
478455,0.49,0.59,0.26,Loyal Apprentice,Commander: Phyrexia: All Will Be One,loyalapprentice
478465,0.4,0.69,0.34,Mind Stone,Commander: Phyrexia: All Will Be One,mindstone
478581,8.16,10.99,7.29,Noxious Revival,Commander: Phyrexia: All Will Be One,noxiousrevival
478489,1.47,2.49,1.31,Path to Exile,Commander: Phyrexia: All Will Be One,pathtoexile
478590,0.3,0.49,0.15,Scavenging Ooze,Commander: Phyrexia: All Will Be One,scavengingooze
478450,1.63,2.29,1.55,Sol Ring,Commander: Phyrexia: All Will Be One,solring
478453,0.39,0.49,0.26,Soul-Guide Lantern,Commander: Phyrexia: All Will Be One,soulguidelantern
478578,2.01,2.29,1.6500000000000001,Swords to Plowshares,Commander: Phyrexia: All Will Be One,swordstoplowshares
479312,15.22,17.99,14.06,All Will Be One,Phyrexia: All Will Be One,allwillbeone
479362,0.26,0.35,0.15,Duress,Phyrexia: All Will Be One,duress
478278,3.19,4.99,3.02,"Skrelv, Defector Mite",Phyrexia: All Will Be One,skrelvdefectormite
479347,3.06,2.29,1.12,Soulless Jailer,Phyrexia: All Will Be One,soullessjailer
478931,2.09,1.29,0.33,The Mycosynth Gardens,Phyrexia: All Will Be One,themycosynthgardens
478299,1.93,1.99,1.04,"Tyvar, Jubilant Brawler",Phyrexia: All Will Be One,tyvarjubilantbrawler
449596,12.34,16.99,12.49,Birds of Paradise,Dominaria Remastered,birdsofparadise
457218,0.32,0.49,0.15,"Chainer, Dementia Master",Dominaria Remastered,chainerdementiamaster
457458,0.23,0.59,0.15,Cloud of Faeries,Dominaria Remastered,cloudoffaeries
457142,3.95,4.49,3.12,Crop Rotation,Dominaria Remastered,croprotation
461925,0.75,1.29,0.6,Damping Sphere,Dominaria Remastered,dampingsphere
457863,0.18,0.35,0.15,Duress,Dominaria Remastered,duress
457270,3.04,2.49,2.61,Elvish Spirit Guide,Dominaria Remastered,elvishspiritguide
457587,0.1,0.35,0.15,Emerald Charm,Dominaria Remastered,emeraldcharm
457198,17.24,22.99,15.59,Entomb,Dominaria Remastered,entomb
457158,37.88,37.99,33.34,Enlightened Tutor,Dominaria Remastered,enlightenedtutor
457191,32.28,42.99,21.96,Exploration,Dominaria Remastered,exploration
449583,62.64,74.99,62.52,Force of Will,Dominaria Remastered,forceofwill
461900,17.44,20.99,16.66,Gamble,Dominaria Remastered,gamble
463383,3.43,4.99,2.6,Gemstone Mine,Dominaria Remastered,gemstonemine
457203,0.28,0.69,0.15,Grapeshot,Dominaria Remastered,grapeshot
457153,5.38,4.99,4.6000000000000005,Last Chance,Dominaria Remastered,lastchance
463303,0.3,0.79,0.25,Mind Stone,Dominaria Remastered,mindstone
463625,0.19,0.35,0.15,Mishra's Factory,Dominaria Remastered,mishrasfactory
458047,12.47,14.99,12.09,Mystic Remora,Dominaria Remastered,mysticremora
457199,16.53,20.99,16.67,Mystical Tutor,Dominaria Remastered,mysticaltutor
457188,0.28,0.69,0.15,Ornithopter,Dominaria Remastered,ornithopter
458178,0.26,0.79,0.15,Peregrine Drake,Dominaria Remastered,peregrinedrake
457194,0.58,0.99,0.5,Sevinne's Reclamation,Dominaria Remastered,sevinnesreclamation
458224,3.29,4.49,3.06,Snap,Dominaria Remastered,snap
457086,29.31,29.99,24.43,Sylvan Library,Dominaria Remastered,sylvanlibrary
449580,1.52,2.49,1.34,Swords to Plowshares,Dominaria Remastered,swordstoplowshares
457091,14.96,19.99,14.05,"Urza, Lord High Artificer",Dominaria Remastered,urzalordhighartificer
457178,60.08,54.99,58.01,Vampiric Tutor,Dominaria Remastered,vampirictutor
457269,26.92,39.99,25.0,Worldly Tutor,Dominaria Remastered,worldlytutor
457084,30.95,32.99,30.34,"Yawgmoth, Thran Physician",Dominaria Remastered,yawgmoththranphysician
455521,0.1,0.35,0.15,Axgard Cavalry,Jumpstart 2022,axgardcavalry
454987,3.52,3.49,1.79,Eidolon of Rhetoric,Jumpstart 2022,eidolonofrhetoric
455226,12.49,11.99,13.63,Emiel the Blessed,Jumpstart 2022,emieltheblessed
454835,1.95,3.99,1.1400000000000001,Expedition Map,Jumpstart 2022,expeditionmap
455166,0.75,0.59,0.39,Faerie Seer,Jumpstart 2022,faerieseer
455655,9.03,13.99,8.870000000000001,Glint-Horn Buccaneer,Jumpstart 2022,glinthornbuccaneer
455678,0.83,0.99,0.62,Goblin Rabblemaster,Jumpstart 2022,goblinrabblemaster
455599,2.81,2.49,1.03,Gravecrawler,Jumpstart 2022,gravecrawler
455096,0.18,0.49,0.23,Mishra's Factory,Jumpstart 2022,mishrasfactory
455596,0.23,0.39,0.19,Opt,Jumpstart 2022,opt
454840,19.45,22.99,18.18,Pirated Copy,Jumpstart 2022,piratedcopy
455465,1.78,2.79,0.97,Preordain,Jumpstart 2022,preordain
455554,6.43,8.49,6.96,Professional Face-Breaker,Jumpstart 2022,professionalfacebreaker
455686,0.83,1.49,0.8200000000000001,Reckless Fireweaver,Jumpstart 2022,recklessfireweaver
454994,70.26,79.99,67.37,Rhystic Study,Jumpstart 2022,rhysticstudy
455228,1.21,1.79,0.98,Seat of the Synod,Jumpstart 2022,seatofthesynod
455039,1.78,2.99,2.06,Snow-Covered Island,Jumpstart 2022,snowcoveredisland
454814,0.86,1.79,0.75,Universal Automaton,Jumpstart 2022,universalautomaton
454836,9.9,14.99,9.73,Walking Ballista,Jumpstart 2022,walkingballista
455199,0.2,0.35,0.2,Young Wolf,Jumpstart 2022,youngwolf
456988,0.28,0.35,0.15,Abrade,Starter Commander Decks,abrade
456732,0.46,0.99,0.46,Arcane Signet,Starter Commander Decks,arcanesignet
456787,0.48,1.99,0.51,Avacyn's Pilgrim,Starter Commander Decks,avacynspilgrim
456959,0.82,1.99,0.72,Blasphemous Act,Starter Commander Decks,blasphemousact
456961,0.34,0.79,0.33,Chaos Warp,Starter Commander Decks,chaoswarp
456743,0.27,0.79,0.26,Command Tower,Starter Commander Decks,commandtower
456823,0.42,1.29,0.36,Crippling Fear,Starter Commander Decks,cripplingfear
456789,1.24,1.49,1.26,Eternal Witness,Starter Commander Decks,eternalwitness
456854,1.47,2.49,0.93,Gray Merchant of Asphodel,Starter Commander Decks,graymerchantofasphodel
456815,0.32,0.35,0.15,Holdout Settlement,Starter Commander Decks,holdoutsettlement
456721,0.28,0.35,0.19,Negate,Starter Commander Decks,negate
456784,1.18,2.79,1.21,Path to Exile,Starter Commander Decks,pathtoexile
456767,0.21,0.59,0.17,"Rishkar, Peema Renegade",Starter Commander Decks,rishkarpeemarenegade
456768,0.29,0.49,0.15,Scavenging Ooze,Starter Commander Decks,scavengingooze
456739,2.2,2.49,1.3900000000000001,Sol Ring,Starter Commander Decks,solring
456716,1.3,2.49,1.41,Swords to Plowshares,Starter Commander Decks,swordstoplowshares
457002,3.43,3.49,2.6,Talisman of Indulgence,Starter Commander Decks,talismanofindulgence
456875,1.55,2.49,1.59,Talisman of Dominance,Starter Commander Decks,talismanofdominance
456740,0.4,0.79,0.38,Talisman of Progress,Starter Commander Decks,talismanofprogress
662009,4.35,5.99,3.37,Brain Freeze,Secret Lair Countdown Kit,brainfreeze
662011,5.09,5.99,5.18,Crop Rotation,Secret Lair Countdown Kit,croprotation
448904,187.52,159.99,196.71,Chrome Mox,Secret Lair Countdown Kit,chromemox
451202,15.74,13.99,14.780000000000001,Deathrite Shaman,Secret Lair Countdown Kit,deathriteshaman
662013,7.99,9.49,6.18,Demonic Consultation,Secret Lair Countdown Kit,demonicconsultation
662017,29.58,29.99,30.060000000000002,Field of the Dead,Secret Lair Countdown Kit,fieldofthedead
662019,8.11,8.99,7.55,Gray Merchant of Asphodel,Secret Lair Countdown Kit,graymerchantofasphodel
662034,14.83,16.99,13.76,Llanowar Elves,Secret Lair Countdown Kit,llanowarelves
454677,,,,Lotus Field,Secret Lair Countdown Kit,lotusfield
451192,1.11,0.99,1.1300000000000001,Lightning Helix,Secret Lair Countdown Kit,lightninghelix
451175,1.92,1.99,1.94,Mishra's Factory,Secret Lair Countdown Kit,mishrasfactory
662042,4.52,4.49,3.59,Narset's Reversal,Secret Lair Countdown Kit,narsetsreversal
448902,47.14,54.99,48.39,Necropotence,Secret Lair Countdown Kit,necropotence
451199,10.71,8.49,10.4,Ponder,Secret Lair Countdown Kit,ponder
662064,16.63,20.99,15.6,Sol Ring,Secret Lair Countdown Kit,solring
662085,62.8,74.99,57.67,Urza's Saga,Secret Lair Countdown Kit,urzassaga
662089,13.22,21.99,13.84,Wasteland,Secret Lair Countdown Kit,wasteland
662087,4.23,4.99,4.15,Vesuva,Secret Lair Countdown Kit,vesuva
448974,19.32,,,Animate Dead,30th Anniversary Edition,animatedead
449163,235.61,279.99,,Badlands,30th Anniversary Edition,badlands
449114,9.54,,10.05,Basalt Monolith,30th Anniversary Edition,basaltmonolith
449164,232.81,229.99,247.48000000000002,Bayou,30th Anniversary Edition,bayou
449068,,99.99,58.07,Birds of Paradise,30th Anniversary Edition,birdsofparadise
448928,2.47,2.79,7.07,Blue Elemental Blast,30th Anniversary Edition,blueelementalblast
448932,,79.99,66.16,Copy Artifact,30th Anniversary Edition,copyartifact
448980,13.93,13.99,15.3,Dark Ritual,30th Anniversary Edition,darkritual
448984,84.69,79.99,104.18,Demonic Tutor,30th Anniversary Edition,demonictutor
449039,10.5,8.99,10.39,Lightning Bolt,30th Anniversary Edition,lightningbolt
449093,5.29,3.49,4.55,Llanowar Elves,30th Anniversary Edition,llanowarelves
449145,,119.99,233.49,Mana Vault,30th Anniversary Edition,manavault
449165,200.0,199.99,,Plateau,30th Anniversary Edition,plateau
449049,15.34,9.99,20.54,Red Elemental Blast,30th Anniversary Edition,redelementalblast
449004,10.11,,,Sacrifice,30th Anniversary Edition,sacrifice
449167,195.82,279.99,234.23000000000002,Savannah,30th Anniversary Edition,savannah
449168,314.6,299.99,,Scrubland,30th Anniversary Edition,scrubland
449169,300.0,229.99,,Taiga,30th Anniversary Edition,taiga
448917,8.79,,6.7700000000000005,Swords to Plowshares,30th Anniversary Edition,swordstoplowshares
448965,798.33,1099.99,989.88,Timetwister,30th Anniversary Edition,timetwister
449170,275.0,,,Tropical Island,30th Anniversary Edition,tropicalisland
449171,278.32,279.99,241.6,Tundra,30th Anniversary Edition,tundra
449172,393.31,329.99,,Underground Sea,30th Anniversary Edition,undergroundsea
449173,305.76,,386.56,Volcanic Island,30th Anniversary Edition,volcanicisland
449065,365.0,379.99,,Wheel of Fortune,30th Anniversary Edition,wheeloffortune
452480,10.67,8.99,10.39,Rootpath Purifier,Commander: The Brothers' War,rootpathpurifier
453985,1.0,2.99,0.92,Battlefield Forge,Promo Pack: The Brothers' War,battlefieldforge
453952,16.65,18.99,18.650000000000002,Diabolic Intent,Promo Pack: The Brothers' War,diabolicintent
453989,1.19,6.99,0.98,Llanowar Wastes,Promo Pack: The Brothers' War,llanowarwastes
453931,33.64,54.99,38.81,Portal to Phyrexia,Promo Pack: The Brothers' War,portaltophyrexia
453991,3.78,,4.12,Underground River,Promo Pack: The Brothers' War,undergroundriver
451477,0.36,0.69,0.15,Battlefield Forge,The Brothers' War,battlefieldforge
453146,0.28,0.49,0.15,Bushwhack,The Brothers' War,bushwhack
452255,0.37,0.79,0.2,Demolition Field,The Brothers' War,demolitionfield
452124,18.37,19.99,15.1,Diabolic Intent,The Brothers' War,diabolicintent
451476,0.98,1.49,0.54,Llanowar Wastes,The Brothers' War,llanowarwastes
451962,38.23,54.99,43.5,Portal to Phyrexia,The Brothers' War,portaltophyrexia
451475,1.6,2.99,1.59,Underground River,The Brothers' War,undergroundriver
452373,1.21,2.29,0.6900000000000001,Adaptive Automaton,The Brothers' War: Retro Frame Artifacts,adaptiveautomaton
451928,17.78,20.99,16.76,Altar of Dementia,The Brothers' War: Retro Frame Artifacts,altarofdementia
451908,17.8,19.99,14.84,Ashnod's Altar,The Brothers' War: Retro Frame Artifacts,ashnodsaltar
452387,0.21,0.35,0.15,Chromatic Star,The Brothers' War: Retro Frame Artifacts,chromaticstar
451966,6.56,6.49,6.12,Defense Grid,The Brothers' War: Retro Frame Artifacts,defensegrid
452412,0.37,0.59,0.28,Key to the City,The Brothers' War: Retro Frame Artifacts,keytothecity
451975,80.13,109.99,82.46000000000001,Mox Amber,The Brothers' War: Retro Frame Artifacts,moxamber
451911,0.25,0.69,0.26,Ornithopter,The Brothers' War: Retro Frame Artifacts,ornithopter
451925,1.94,3.49,1.82,Mishra's Bauble,The Brothers' War: Retro Frame Artifacts,mishrasbauble
448815,0.33,0.49,0.25,Phyrexian Revoker,The Brothers' War: Retro Frame Artifacts,phyrexianrevoker
452426,1.59,3.49,1.18,Sculpting Steel,The Brothers' War: Retro Frame Artifacts,sculptingsteel
452430,0.28,0.35,0.15,Soul-Guide Lantern,The Brothers' War: Retro Frame Artifacts,soulguidelantern
452431,0.38,0.99,0.19,Springleaf Drum,The Brothers' War: Retro Frame Artifacts,springleafdrum
448834,8.94,10.99,7.29,"Slicer, Hired Muscle",Universes Beyond: Transformers,slicerhiredmuscle
448523,0.25,0.35,0.16,Abrade,Magic Game Night: Free-For-All,abrade
448525,3.14,2.79,1.47,Lightning Bolt,Magic Game Night: Free-For-All,lightningbolt
448547,0.63,,0.55,Llanowar Elves,Magic Game Night: Free-For-All,llanowarelves
448524,1.62,2.49,1.6300000000000001,Path to Exile,Magic Game Night: Free-For-All,pathtoexile
448530,1.59,2.29,1.75,Swords to Plowshares,Magic Game Night: Free-For-All,swordstoplowshares
448588,12.18,13.99,8.8,"Vilis, Broker of Blood",Magic Game Night: Free-For-All,vilisbrokerofblood
286137,2.49,3.99,1.78,Blasphemous Act,"Universes Beyond: Warhammer 40,000",blasphemousact
286133,2.73,2.99,1.76,Brainstorm,"Universes Beyond: Warhammer 40,000",brainstorm
286138,0.97,0.79,0.33,Chaos Warp,"Universes Beyond: Warhammer 40,000",chaoswarp
286135,8.57,7.49,4.92,Dark Ritual,"Universes Beyond: Warhammer 40,000",darkritual
285958,0.39,0.79,0.16,Exotic Orchard,"Universes Beyond: Warhammer 40,000",exoticorchard
285803,,,,Marneus Calgar,"Universes Beyond: Warhammer 40,000",marneuscalgar
286373,2.89,2.99,2.44,Sculpting Steel,"Universes Beyond: Warhammer 40,000",sculptingsteel
286517,2.29,3.99,2.07,Swords to Plowshares,"Universes Beyond: Warhammer 40,000",swordstoplowshares
286121,3.44,3.49,3.64,Talisman of Creativity,"Universes Beyond: Warhammer 40,000",talismanofcreativity
286233,1.26,2.29,1.03,Talisman of Hierarchy,"Universes Beyond: Warhammer 40,000",talismanofhierarchy
286526,1.26,1.29,1.01,Talisman of Progress,"Universes Beyond: Warhammer 40,000",talismanofprogress
286125,3.8,3.99,3.45,Talisman of Indulgence,"Universes Beyond: Warhammer 40,000",talismanofindulgence
282958,0.46,0.79,0.5,Arcane Signet,Commander: Dominaria United,arcanesignet
282987,0.37,0.79,0.28,Battlefield Forge,Commander: Dominaria United,battlefieldforge
282994,0.32,0.69,0.3,Command Tower,Commander: Dominaria United,commandtower
282840,13.98,24.99,14.32,"Dihada, Binder of Wills",Commander: Dominaria United,dihadabinderofwills
283053,0.35,0.49,0.21,Exotic Orchard,Commander: Dominaria United,exoticorchard
282935,0.55,0.79,0.43,Faeburrow Elder,Commander: Dominaria United,faeburrowelder
282959,1.29,1.49,0.78,Fellwar Stone,Commander: Dominaria United,fellwarstone
283000,2.47,3.99,1.75,Geier Reach Sanitarium,Commander: Dominaria United,geierreachsanitarium
283063,0.67,0.59,0.26,Opulent Palace,Commander: Dominaria United,opulentpalace
283015,1.34,2.49,1.3,Path to Exile,Commander: Dominaria United,pathtoexile
282969,1.63,2.29,1.49,Sol Ring,Commander: Dominaria United,solring
282900,24.02,37.99,24.900000000000002,Tiller Engine,Commander: Dominaria United,tillerengine
283402,0.32,0.49,0.15,Anointed Peacekeeper,Dominaria United,anointedpeacekeeper
282758,4.0,5.99,4.12,"Braids, Arisen Nightmare",Dominaria United,braidsarisennightmare
282845,0.42,0.79,0.18,Cut Down,Dominaria United,cutdown
283616,0.26,0.35,0.15,Essence Scatter,Dominaria United,essencescatter
283607,0.93,1.29,0.71,Ertai Resurrected,Dominaria United,ertairesurrected
283488,0.28,0.35,0.15,Negate,Dominaria United,negate
283524,2.43,2.29,1.37,Relic of Legends,Dominaria United,relicoflegends
282800,95.98,139.99,102.11,"Sheoldred, the Apocalypse",Dominaria United,sheoldredtheapocalypse
282785,0.43,0.79,0.28,Shivan Reef,Dominaria United,shivanreef
282754,1.62,2.29,1.3800000000000001,Sulfurous Springs,Dominaria United,sulfuroussprings
282772,0.37,0.69,0.35000000000000003,Yavimaya Coast,Dominaria United,yavimayacoast
285526,0.74,0.49,0.77,Anointed Peacekeeper,Promo Pack: Dominaria United,anointedpeacekeeper
285591,3.64,5.49,4.2700000000000005,"Braids, Arisen Nightmare",Promo Pack: Dominaria United,braidsarisennightmare
282853,1.9,2.49,0.91,Cut Down,Promo Pack: Dominaria United,cutdown
284543,11.21,13.99,10.67,Deathcap Glade,Promo Pack: Dominaria United,deathcapglade
284545,2.81,3.49,5.19,Dreamroot Cascade,Promo Pack: Dominaria United,dreamrootcascade
285629,1.39,1.79,1.59,Ertai Resurrected,Promo Pack: Dominaria United,ertairesurrected
284529,97.29,129.99,102.93,"Sheoldred, the Apocalypse",Promo Pack: Dominaria United,sheoldredtheapocalypse
284547,5.58,10.99,5.76,Shattered Sanctum,Promo Pack: Dominaria United,shatteredsanctum
285652,0.88,0.99,0.75,Shivan Reef,Promo Pack: Dominaria United,shivanreef
284548,5.46,8.49,5.68,Stormcarved Coast,Promo Pack: Dominaria United,stormcarvedcoast
285653,2.43,2.49,2.38,Sulfurous Springs,Promo Pack: Dominaria United,sulfuroussprings
284539,1.97,1.79,2.0,"Thalia, Guardian of Thraben",Promo Pack: Dominaria United,thaliaguardianofthraben
284549,6.12,11.99,7.390000000000001,Sundown Pass,Promo Pack: Dominaria United,sundownpass
285655,0.93,2.79,0.86,Yavimaya Coast,Promo Pack: Dominaria United,yavimayacoast
453572,,,,Dramatic Reversal,30th Anniversary Promos,dramaticreversal
453554,,,,Eternal Witness,30th Anniversary Promos,eternalwitness
453569,,,,Goblin Rabblemaster,30th Anniversary Promos,goblinrabblemaster
284942,,,,Llanowar Elves,30th Anniversary Promos,llanowarelves
285065,,,,Wall of Roots,30th Anniversary Promos,wallofroots
285071,,,,Windfall,30th Anniversary Promos,windfall
287522,11.1,16.99,11.120000000000001,Clown Car,Unfinity,clowncar
257009,5.13,7.49,4.78,Saw in Half,Unfinity,sawinhalf
276762,3.45,3.49,3.25,Aether Vial,Double Masters 2022,aethervial
276322,50.58,54.99,44.28,Allosaurus Shepherd,Double Masters 2022,allosaurusshepherd
276336,2.64,3.99,2.88,"Aminatou, the Fateshifter",Double Masters 2022,aminatouthefateshifter
276261,12.92,17.99,13.22,Bloom Tender,Double Masters 2022,bloomtender
276316,52.71,54.99,52.74,Cavern of Souls,Double Masters 2022,cavernofsouls
277212,0.7,0.79,0.52,Chaos Warp,Double Masters 2022,chaoswarp
276894,14.74,18.99,13.43,City of Brass,Double Masters 2022,cityofbrass
276378,32.88,29.99,29.67,Consecrated Sphinx,Double Masters 2022,consecratedsphinx
276658,1.03,0.79,0.51,Devoted Druid,Double Masters 2022,devoteddruid
277143,14.74,15.99,14.76,Emiel the Blessed,Double Masters 2022,emieltheblessed
276603,1.61,1.79,1.46,Eternal Witness,Double Masters 2022,eternalwitness
276798,9.59,12.99,7.79,Forbidden Orchard,Double Masters 2022,forbiddenorchard
276918,42.64,29.99,40.07,Food Chain,Double Masters 2022,foodchain
276686,54.4,69.99,55.22,Force of Negation,Double Masters 2022,forceofnegation
276478,5.16,5.49,5.14,Gifts Ungiven,Double Masters 2022,giftsungiven
276439,18.46,16.99,15.63,Grand Arbiter Augustin IV,Double Masters 2022,grandarbiteraugustiniv
276935,2.02,1.99,1.04,Gravecrawler,Double Masters 2022,gravecrawler
276504,28.77,32.99,27.61,Green Sun's Zenith,Double Masters 2022,greensunszenith
276288,163.39,199.99,171.93,Imperial Seal,Double Masters 2022,imperialseal
276484,2.49,2.29,1.04,Lightning Bolt,Double Masters 2022,lightningbolt
277207,0.3,0.39,0.15,Lightning Helix,Double Masters 2022,lightninghelix
276715,57.31,69.99,54.67,Mana Drain,Double Masters 2022,manadrain
276291,115.52,139.99,110.69,Mana Vault,Double Masters 2022,manavault
276572,3.04,2.29,1.8900000000000001,Necrotic Ooze,Double Masters 2022,necroticooze
