,tcgplayer,cardkingdom,manapool,name,set,nk
583098,2.97,4.99,2.95,Bolt Bend,The List Reprints,boltbend
222449,8.71,8.99,4.93,Brain Freeze,The List Reprints,brainfreeze
582602,1.25,2.29,0.9,Buried Alive,The List Reprints,buriedalive
275323,,,,Buried Ruin,The List Reprints,buriedruin
582893,0.24,0.59,0.15,Bushwhack,The List Reprints,bushwhack
203689,0.34,0.35,0.15,Cancel,The List Reprints,cancel
203038,3.61,4.49,2.57,Carpet of Flowers,The List Reprints,carpetofflowers
203614,5.14,3.99,4.22,Carrion Feeder,The List Reprints,carrionfeeder
513169,8.39,11.99,8.49,Castle Garenbrig,The List Reprints,castlegarenbrig
229291,51.51,57.99,52.08,Cavern of Souls,The List Reprints,cavernofsouls
284314,8.54,9.49,6.1000000000000005,Chain of Smog,The List Reprints,chainofsmog
202899,0.31,0.39,0.26,Chromatic Star,The List Reprints,chromaticstar
581235,2.53,4.99,2.44,Clever Impersonator,The List Reprints,cleverimpersonator
513177,5.82,5.99,4.87,Clock of Omens,The List Reprints,clockofomens
454130,4.53,3.99,3.74,Collector Ouphe,The List Reprints,collectorouphe
222470,9.95,11.99,8.15,Command Beacon,The List Reprints,commandbeacon
498570,4.55,4.99,4.67,Commandeer,The List Reprints,commandeer
533199,0.29,0.35,0.15,Consign // Oblivion,The List Reprints,consignoblivion
284318,12.61,14.99,10.370000000000001,Contamination,The List Reprints,contamination
513179,5.43,4.49,4.09,Counterbalance,The List Reprints,counterbalance
203064,4.47,3.49,3.5,Crop Rotation,The List Reprints,croprotation
583215,7.95,6.99,5.73,Crystal Vein,The List Reprints,crystalvein
204483,2.55,4.49,3.19,Curse of Opulence,The List Reprints,curseofopulence
582638,4.89,6.99,5.19,Dauthi Voidwalker,The List Reprints,dauthivoidwalker
203724,2.35,2.29,1.49,Daze,The List Reprints,daze
583183,0.14,0.35,0.15,Dead // Gone,The List Reprints,deadgone
