productId,name,set,key
583113,God-Pharaoh's Statue,The List Reprints,godpharaohs statue
240841,Grand Arbiter Augustin IV,The List Reprints,grand arbiter augustin iv
204581,Grapeshot,The List Reprints,grapeshot
204259,Gravecrawler,The List Reprints,gravecrawler
204263,Gray Merchant of Asphodel,The List Reprints,gray merchant of asphodel
581324,Gudul Lurker,The List Reprints,gudul lurker
204014,Gush,The List Reprints,gush
204623,Gut Shot,The List Reprints,gut shot
492639,Hope of Ghirapur,The List Reprints,hope of ghirapur
693814,Howlsquad Heavy,The List Reprints,howlsquad heavy
583018,Ignoble Hierarch,The List Reprints,ignoble hierarch
693879,Impulsive Pilferer,The List Reprints,impulsive pilferer
533169,"Jace, Wielder of Mysteries",The List Reprints,jace wielder of mysteries
254586,Jet Medallion,The List Reprints,jet medallion
454168,"K'rrik, Son of Yawgmoth",The List Reprints,krrik son of yawgmoth
275168,Kederekt Parasite,The List Reprints,kederekt parasite
496199,"Kinnan, Bonder Prodigy",The List Reprints,kinnan bonder prodigy
275378,"Krark, the Thumbless",The List Reprints,krark the thumbless
222737,Light Up the Stage,The List Reprints,light up the stage
203419,Llanowar Elves,The List Reprints,llanowar elves
631652,Llanowar Wastes,The List Reprints,llanowar wastes
203001,Lotus Petal,The List Reprints,lotus petal
248701,Loyal Apprentice,The List Reprints,loyal apprentice
235240,"Lukka, Coppercoat Outcast",The List Reprints,lukka coppercoat outcast
631632,"Magda, Brazen Outlaw",The List Reprints,magda brazen outlaw
248726,Magus of the Moon,The List Reprints,magus of the moon
204617,Manamorphose,The List Reprints,manamorphose
533995,Maskwood Nexus,The List Reprints,maskwood nexus
210377,Memnite,The List Reprints,memnite
248666,"Mikaeus, the Unhallowed",The List Reprints,mikaeus the unhallowed
210357,"Minamo, School at Water's Edge",The List Reprints,minamo school at waters edge
235243,Mirrorpool,The List Reprints,mirrorpool
204076,Misdirection,The List Reprints,misdirection
203017,Mishra's Bauble,The List Reprints,mishras bauble
581561,Mistblade Shinobi,The List Reprints,mistblade shinobi
581626,Mothdust Changeling,The List Reprints,mothdust changeling
275349,Muddle the Mixture,The List Reprints,muddle the mixture
631655,Mutavault,The List Reprints,mutavault
229326,Mystical Tutor,The List Reprints,mystical tutor
581813,Narset's Reversal,The List Reprints,narsets reversal
203444,Nature's Claim,The List Reprints,natures claim
222757,Necromancy,The List Reprints,necromancy
496244,Needleverge Pathway,The List Reprints,needleverge pathway
526554,"Nezahal, Primal Tide",The List Reprints,nezahal primal tide
275386,"Niv-Mizzet, Parun",The List Reprints,nivmizzet parun
583112,Noble Hierarch,The List Reprints,noble hierarch
