productId,name,set,tcgplayer,cardkingdom,manapool,ck_pct,mp_pct,source,band
630950,"Sephiroth, Fabled SOLDIER",FINAL FANTASY,31.65,34.99,26.05,10.552922590837294,-17.693522906793042,top-5000 GMV,$20-50
4416,Survival of the Fittest,Exodus,399.96,599.99,304.40000000000003,50.01250125012502,-23.89238923892388,top-5000 GMV,$200+
1585,Taiga,Revised Edition,425.39,449.99,265.11,5.782928606690336,-37.67836573497261,top-5000 GMV,$200+
1527,Plateau,Revised Edition,375.77,399.99,258.74,6.445432046198481,-31.14405088218857,top-5000 GMV,$200+
631871,Vivi Ornitier (Borderless),FINAL FANTASY,81.61,99.99,82.31,22.52174978556549,0.857738022301192,top-5000 GMV,$50-100
623894,"Ugin, Eye of the Storms",Tarkir: Dragonstorm,41.76,64.99,41.19,55.627394636015325,-1.364942528735633,top-5000 GMV,$20-50
238609,Misty Rainforest,Modern Horizons 2,36.34,42.99,36.2,18.29939460649421,-0.3852504127683009,top-5000 GMV,$20-50
589328,Bloodthirsty Conqueror,Foundations,39.76,42.99,32.3,8.123742454728381,-18.762575452716305,top-5000 GMV,$20-50
509562,Smothering Tithe (Anime Borderless),Wilds of Eldraine: Enchanting Tales,208.35,229.99,205.56,10.386369090472767,-1.3390928725701907,top-5000 GMV,$200+
504495,Deflecting Swat (Borderless),Commander Masters,103.43,139.99,103.15,35.34757807212608,-0.2707144928937456,top-5000 GMV,$100-200
212191,Deflecting Swat,Commander 2020,65.78,99.99,67.73,52.00668896321069,2.96442687747036,top-5000 GMV,$50-100
541275,Bloodstained Mire,Modern Horizons 3,18.51,23.99,17.01,29.60561858454887,-8.103727714748784,top-5000 GMV,$10-20
212218,Fierce Guardianship,Commander 2020,54.83,84.99,57.17,55.00638336677001,4.267736640525266,top-5000 GMV,$50-100
657764,Doubling Season (Borderless),Teenage Mutant Ninja Turtles Source Material,30.24,34.99,30.34,15.70767195767197,0.3306878306878354,top-5000 GMV,$20-50
498425,Orcish Bowmasters (Borderless),Universes Beyond: The Lord of the Rings: Tales of Middle-earth,55.92,57.99,52.08,3.7017167381974256,-6.866952789699576,top-5000 GMV,$50-100
238607,Arid Mesa,Modern Horizons 2,27.51,42.99,28.13,56.27044711014177,2.2537259178480458,top-5000 GMV,$20-50
273001,Ancient Copper Dragon,Commander Legends: Battle for Baldur's Gate,109.72,149.99,110.44,36.7025154939847,0.6562158220925983,top-5000 GMV,$100-200
190647,Force of Negation,Modern Horizons,52.63,69.99,54.18,32.984989549686475,2.945088352650574,top-5000 GMV,$50-100
4303,City of Traitors,Exodus,539.19,649.99,512.65,20.549342532316984,-4.922198111982802,top-5000 GMV,$200+
697383,Devil Dinosaur,Commander: Marvel Super Heroes,41.78,44.99,40.01,7.683101962661562,-4.23647678314984,top-5000 GMV,$20-50
1388,Demonic Tutor,Revised Edition,66.79,79.99,43.76,19.763437640365307,-34.48120976194042,top-5000 GMV,$50-100
1342,Bayou,Revised Edition,457.17,549.99,299.86,20.30316949931098,-34.40951943478356,top-5000 GMV,$200+
696412,T'Challa's Protection - Teferi's Protection (Borderless),Marvel Universe Eternal-Legal,33.22,37.99,34.72,14.35881998795907,4.515352197471403,top-5000 GMV,$20-50
5170,Phyrexian Dreadnought,Mirage,279.42,349.99,203.19,25.255887194903725,-27.281511702812978,top-5000 GMV,$200+
558355,Three Tree City,Bloomburrow,26.61,34.99,26.9,31.491920330702754,1.0898158586997335,top-5000 GMV,$20-50
630959,"Sephiroth, Fabled SOLDIER (0317) (Borderless)",FINAL FANTASY,70.99,99.99,66.47,40.850824059726726,-6.367093956895332,top-5000 GMV,$50-100
590858,Doubling Season,Foundations,33.13,42.99,30.21,29.76154542710534,-8.813763960156962,top-5000 GMV,$20-50
1552,Savannah,Revised Edition,403.73,449.99,250.55,11.458152725831615,-37.94119832561365,top-5000 GMV,$200+
498456,Balin's Tomb - Ancient Tomb (Borderless),Commander: The Lord of the Rings: Tales of Middle-earth,181.11,199.99,182.99,10.424603831925346,1.0380431781790047,top-5000 GMV,$100-200
662549,The Walls of Ba Sing Se,Avatar: The Last Airbender,22.92,34.99,20.84,52.661431064572426,-9.07504363001746,top-5000 GMV,$20-50
509566,Rhystic Study (Anime Borderless),Wilds of Eldraine: Enchanting Tales,161.63,199.99,151.09,23.73321784322218,-6.521066633669487,top-5000 GMV,$100-200
1556,Scrubland,Revised Edition,435.57,499.99,313.63,14.789815643868955,-27.995500149229745,top-5000 GMV,$200+
696581,"Ultron, Artificial Malevolence",Marvel Super Heroes,12.69,19.99,13.35,57.52561071710007,5.200945626477543,top-5000 GMV,$10-20
689348,Cyclonic Rift (JP Alternate Art),Secrets of Strixhaven: Mystical Archive,86.6,109.99,86.48,27.00923787528869,-0.1385681293302429,top-5000 GMV,$50-100
697332,The Vision and Scarlet Witch,Commander: Marvel Super Heroes,58.05,74.99,51.7,29.181739879414295,-10.938845822566744,top-5000 GMV,$50-100
689106,Germination Practicum,Secrets of Strixhaven,10.26,9.99,8.33,-2.631578947368417,-18.81091617933723,top-5000 GMV,$10-20
541277,Wooded Foothills,Modern Horizons 3,16.47,23.99,15.78,45.65877352762599,-4.189435336976318,top-5000 GMV,$10-20
499456,Mithril Coat,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,31.19,42.99,28.57,37.832638666239184,-8.40012824623277,top-5000 GMV,$20-50
659479,"Jin Sakai, Ghost of Tsushima",Secret Lair Drop Series,115.4,109.99,118.74,-4.6880415944540825,2.8942807625649816,top-5000 GMV,$100-200
660517,"Wan Shi Tong, Librarian (Borderless)",Avatar: The Last Airbender,62.14,79.99,64.97,28.725458641776623,4.554232378500158,top-5000 GMV,$50-100
238608,Marsh Flats,Modern Horizons 2,32.0,39.99,29.68,24.968750000000007,-7.250000000000001,top-5000 GMV,$20-50
614390,Chrome Mox (Borderless),Special Guests,174.59,179.99,175.88,3.092960650667281,0.7388739332149562,top-5000 GMV,$100-200
630968,"Sephiroth, Fabled SOLDIER (0382) (Borderless)",FINAL FANTASY,64.35,79.99,59.91,24.304584304584303,-6.899766899766897,top-5000 GMV,$50-100
687438,Land Tax,Commander: Secrets of Strixhaven,15.57,18.99,13.94,21.965317919075133,-10.468850353243422,top-5000 GMV,$10-20
696535,Jennifer Walters,Marvel Super Heroes,11.87,17.99,11.42,51.558550968828975,-3.791069924178596,top-5000 GMV,$10-20
696582,"Ultron, Artificial Malevolence (Borderless) (0344)",Marvel Super Heroes,24.21,32.99,20.82,36.26600578273441,-14.002478314745977,top-5000 GMV,$20-50
591214,Hare Apparent,Foundations,2.32,3.49,0.91,50.43103448275864,-60.77586206896552,top-5000 GMV,$2-5
696324,King T'Challa,Marvel Super Heroes,11.7,18.99,9.46,62.30769230769231,-19.14529914529913,top-5000 GMV,$10-20
673653,"Krang, Utrom Warlord",Teenage Mutant Ninja Turtles,22.7,23.99,21.47,5.6828193832599085,-5.4185022026431735,top-5000 GMV,$20-50
498414,Delighted Halfling,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,29.32,37.99,26.03,29.570259208731247,-11.22100954979536,top-5000 GMV,$20-50
662085,Urza's Saga,Secret Lair Countdown Kit,63.45,69.99,59.38,10.307328605200931,-6.414499605988968,top-5000 GMV,$50-100
552631,Warren Soultrader,Modern Horizons 3,14.84,20.99,14.18,41.442048517520206,-4.447439353099732,top-5000 GMV,$10-20
226653,Jeska's Will,Commander Legends,39.0,49.99,39.9,28.179487179487182,2.307692307692304,top-5000 GMV,$20-50
218602,Mox Opal,Double Masters,247.48,249.99,229.17,1.0142233715855904,-7.3985776628414435,top-5000 GMV,$200+
686619,"Witherbloom, the Balancer (Borderless)",Secrets of Strixhaven,13.64,14.99,11.45,9.897360703812314,-16.05571847507332,top-5000 GMV,$10-20
6209,Metalworker,Urza's Destiny,198.18,199.99,148.46,0.9133111312947836,-25.088303562418,top-5000 GMV,$100-200
541276,Flooded Strand,Modern Horizons 3,15.96,19.99,14.58,25.250626566416024,-8.646616541353389,top-5000 GMV,$10-20
657755,Super Shredder,Teenage Mutant Ninja Turtles,19.3,21.99,18.75,13.93782383419688,-2.8497409326424905,top-5000 GMV,$10-20
451975,Mox Amber,The Brothers' War: Retro Frame Artifacts,80.21,109.99,81.83,37.127540206956745,2.0196982919835493,top-5000 GMV,$50-100
553302,Urza's Incubator,Modern Horizons 3,18.86,19.99,17.87,5.991516436903495,-5.249204665959695,top-5000 GMV,$10-20
5412,Sliver Queen,Stronghold,295.04,299.99,194.31,1.677738611713662,-34.14113340563992,top-5000 GMV,$200+
239857,"Ragavan, Nimble Pilferer",Modern Horizons 2,43.02,54.99,44.72,27.824267782426777,3.9516503951650295,top-5000 GMV,$20-50
623882,"Elspeth, Storm Slayer",Tarkir: Dragonstorm,40.23,49.99,35.93,24.26050211285112,-10.688540889883164,top-5000 GMV,$20-50
658468,Aerith Gainsborough,Pro Tour Promos,279.05,329.99,255.27,18.254793047840888,-8.521770292062355,top-5000 GMV,$200+
504494,Deflecting Swat,Commander Masters,66.56,99.99,67.03,50.22536057692306,0.7061298076923059,top-5000 GMV,$50-100
552582,Sink into Stupor,Modern Horizons 3,5.74,9.99,5.3100000000000005,74.0418118466899,-7.4912891986062675,top-5000 GMV,$5-10
623897,Voice of Victory,Tarkir: Dragonstorm,17.44,27.99,15.63,60.49311926605503,-10.37844036697248,top-5000 GMV,$10-20
615741,Monument to Endurance,Aetherdrift,20.7,29.99,17.66,44.87922705314009,-14.685990338164247,top-5000 GMV,$20-50
696438,"Wolverine, Best There Is (Borderless)",Marvel Universe Eternal-Legal,23.87,27.99,25.76,17.260159195643055,7.917888563049856,top-5000 GMV,$20-50
656711,Steam Vents,Lorwyn Eclipsed,13.87,16.99,10.68,22.494592645998555,-22.999279019466474,top-5000 GMV,$10-20
525241,Roaming Throne (Borderless),The Lost Caverns of Ixalan,43.67,57.99,46.46,32.79138997023128,6.388825280512936,top-5000 GMV,$20-50
