card,tcg,ck_price,mp_price,ck_pct,mp_pct,units,origin,ck_cal,ck_cal_pct,band,mp_market,productId
Arcane Signet,0.62,0.99,0.46,59.67741935483871,-25.80645161290322,3314.0,live,0.84744,36.68387096774193,$0-1,0.49,687531.0
Harmonized Trio,0.57,0.59,0.15,3.5087719298245648,-73.68421052631578,2591.0,live,0.5050399999999999,-11.39649122807018,$0-1,,688683.0
Icetill Explorer,14.78,21.99,14.77,48.78213802435724,-0.0676589986468186,2211.0,live,18.82344,27.35751014884979,$10-20,14.18,644286.0
The Ten Rings,17.4,24.99,17.71,43.62068965517242,1.781609195402312,2274.0,live,21.39144,22.9393103448276,$10-20,19.6,696349.0
Sleight of Hand,0.29,0.35,0.15,20.6896551724138,-48.27586206896552,3192.0,live,0.2996,3.3103448275862064,$0-1,0.15,689150.0
Marionette Apprentice,1.01,1.99,0.47,97.02970297029702,-53.46534653465347,2436.0,live,1.70344,68.65742574257426,$1-2,,552635.0
Revitalizing Repast,1.06,1.99,0.98,87.73584905660377,-7.547169811320761,2508.0,live,1.70344,60.70188679245283,$1-2,,552651.0
Training Compound,1.69,3.99,1.08,136.09467455621305,-36.094674556213015,3397.0,live,3.4154400000000003,102.09704142011836,$1-2,2.04,696356.0
Sundering Eruption,1.04,1.79,1.02,72.11538461538461,-1.923076923076925,3207.0,live,1.53224,47.33076923076924,$1-2,,552583.0
"Lorehold, the Historian",1.77,1.49,0.96,-15.819209039548024,-45.76271186440678,2087.0,live,1.27544,-27.94124293785311,$1-2,1.75,675584.0
Gathering Place,1.64,3.49,1.77,112.80487804878052,7.92682926829269,3383.0,live,2.9874400000000003,82.16097560975612,$1-2,2.47,696353.0
Traumatic Critique,0.43,0.49,0.15,13.953488372093023,-65.11627906976744,2887.0,live,0.41944,-2.4558139534883754,$0-1,0.57,688479.0
Professor Dellian Fel,4.38,6.99,3.64,59.589041095890416,-16.89497716894977,2303.0,live,5.98344,36.608219178082194,$2-5,4.1,686600.0
