rank,productId,name,set,category,units,transactions,gmv_sale,avg_price
890,248212,The Meathook Massacre,Innistrad: Midnight Hunt,Mythic,311,305,8707.87,27.999581993569134
891,504953,"Avacyn, Angel of Hope",Commander Masters,Mythic,240,232,8695.38,36.23074999999999
892,38409,Chrome Mox,Grand Prix Promos,Promo,35,33,8690.39,248.29685714285714
893,559849,Helm of the Host,Commander: Bloomburrow,Rare,958,886,8677.53,9.057964509394573
894,490536,Tribute to the World Tree,March of the Machine,Rare,660,629,8674.87,13.143742424242426
895,696240,"Elektra, Daughter of the Hand (Borderless) (0395)",Marvel Super Heroes,Rare,245,241,8673.84,35.40342857142857
896,696284,Bruce Banner (Borderless) (0331),Marvel Super Heroes,Mythic,319,314,8673.05,27.188244514106582
897,277161,Smothering Tithe,Double Masters 2022,Rare,153,153,8669.41,56.662810457516336
898,488292,Sol Ring - Human (0410),Commander: The Lord of the Rings: Tales of Middle-earth,Mythic,20,20,8662.2,433.11
899,273396,Ancient Silver Dragon (Borderless),Commander Legends: Battle for Baldur's Gate,Mythic,95,95,8660.85,91.16684210526316
900,541296,Bloodstained Mire (Borderless),Modern Horizons 3,Rare,205,192,8659.56,42.24175609756097
901,92832,Windswept Heath,Khans of Tarkir,Rare,731,605,8651.95,11.83577291381669
902,162284,Gaea's Cradle - 1999 Matt Linde (USG),World Championship Decks,Special,33,31,8642.56,261.89575757575756
903,558384,Ms. Bumbleflower (Borderless),Commander: Bloomburrow,Mythic,1416,822,8634.83,6.098043785310734
904,512614,Parallel Lives,Wilds of Eldraine: Enchanting Tales,Mythic,222,221,8626.48,38.858018018018015
905,630934,Tifa Lockhart (Borderless),FINAL FANTASY,Rare,627,603,8615.78,13.741275917065392
906,624008,Verdant Catacombs (Borderless),Special Guests,Mythic,161,154,8582.81,53.30937888198758
907,696286,Tony Stark (Borderless) (0350),Marvel Super Heroes,Mythic,373,365,8579.55,23.001474530831096
908,692403,Forest (0035),Secret Lair Showdown,Promo,433,179,8571.31,19.79517321016166
909,509527,Greater Auramancy,Wilds of Eldraine: Enchanting Tales,Mythic,249,247,8566.39,34.40317269076305
910,7580,Phyrexian Altar,Invasion,Rare,122,122,8564.73,70.20270491803278
911,191735,Altar of Dementia,Modern Horizons,Rare,484,472,8553.57,17.672665289256198
912,457269,Worldly Tutor,Dominaria Remastered,Rare,306,297,8545.58,27.926732026143792
913,625928,Deadly Rollick,Secret Lair Drop Series,Rare,327,313,8543.77,26.127737003058105
914,648645,"Appa, Steadfast Guardian",Avatar: The Last Airbender,Mythic,1036,938,8542.19,8.245357142857143
915,696442,Hidden Lair (Borderless),Marvel Super Heroes,Rare,1346,1036,8541.15,6.345579494799406
916,651362,Spectacular Spider-Man (0235) (Borderless) (Textured Foil),Marvel's Spider-Man,Rare,21,21,8523.34,405.87333333333333
917,10222,Cabal Therapy,Judgment,Uncommon,368,204,8514.89,23.13828804347826
918,272747,Avenging Hunter,Commander Legends: Battle for Baldur's Gate,Common,1758,770,8514.15,4.843088737201365
919,517523,"Ghalta, Stampede Tyrant (Borderless)",The Lost Caverns of Ixalan,Mythic,272,271,8512.4,31.295588235294115
920,591055,"Aurelia, the Warleader",Foundations,Mythic,1438,1209,8502.9,5.913004172461752
921,448902,Necropotence,Secret Lair Countdown Kit,Mythic,154,153,8502.44,55.210649350649355
922,623916,Ureni of the Unwritten (Borderless),Commander: Tarkir: Dragonstorm,Mythic,910,772,8499.99,9.340648351648351
923,590879,Scrawling Crawler,Foundations,Rare,1425,1328,8496.06,5.962147368421053
924,548578,Orim's Chant,Modern Horizons 3,Rare,1422,1029,8495.33,5.974212376933896
925,631155,Clever Concealment,Commander: FINAL FANTASY,Rare,1369,1139,8482.05,6.195799853907961
926,60129,Ancient Tomb,From the Vault: Realms,Mythic,58,57,8480.94,146.22310344827588
927,203369,Teferi's Protection,The List Reprints,Rare,166,165,8459.25,50.95933734939759
928,688844,Awaken the Woods (JP Alternate Art),Secrets of Strixhaven: Mystical Archive,Mythic,266,259,8456.64,31.791879699248117
929,5717,Seeker of Skybreak,Tempest,Common,2598,1179,8451.97,3.2532602001539646
930,519544,Quantum Misalignment,Universes Beyond: Doctor Who,Rare,442,418,8436.13,19.08626696832579
931,660579,"Avatar Kyoshi, Earthbender",Avatar: The Last Airbender: Eternal-Legal,Mythic,466,466,8433.33,18.09727467811159
932,239741,Subtlety,Modern Horizons 2,Mythic,613,438,8431.77,13.754926590538338
933,631008,"Lightning, Army of One",FINAL FANTASY,Mythic,813,774,8431.7,10.37109471094711
934,688657,Restoration Seminar (Borderless),Secrets of Strixhaven,Mythic,924,871,8430.53,9.123950216450217
935,449583,Force of Will,Dominaria Remastered,Mythic,126,120,8428.43,66.89230158730159
936,688687,Planar Engineering,Secrets of Strixhaven,Rare,3866,2910,8409.43,2.1752276254526643
937,33365,Marsh Flats,Zendikar,Rare,253,230,8398.17,33.194347826086954
938,687413,Ghostly Prison,Commander: Secrets of Strixhaven,Uncommon,1859,1325,8387.09,4.51161377084454
939,221901,Bala Ged Recovery,Zendikar Rising,Uncommon,1250,1178,8375.24,6.7001919999999995
940,541279,"Ajani, Nacatl Pariah",Modern Horizons 3,Mythic,921,701,8373.25,9.091476655808904
941,696672,Cosmic Cube (Borderless) (0312),Marvel Super Heroes,Mythic,429,416,8356.5,19.47902097902098
942,614431,Wastewood Verge,Aetherdrift,Rare,745,656,8352.31,11.211154362416107
943,235964,Sedgemoor Witch,Strixhaven: School of Mages,Rare,971,867,8349.02,8.598372811534501
944,234032,Gemstone Caverns,Time Spiral: Remastered,Mythic,143,139,8344.09,58.35027972027972
945,18079,Thornbite Staff,Morningtide,Uncommon,455,442,8341.88,18.333802197802196
946,498364,Nazgul (0332),Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Uncommon,397,386,8329.52,20.981158690176322
947,596272,Edgar Markov,Innistrad Remastered,Mythic,179,165,8322.6,46.49497206703911
948,66420,Steam Vents,Return to Ravnica,Rare,660,555,8314.5,12.597727272727273
949,518154,Glamdring (Borderless Poster),Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Mythic,97,94,8311.55,85.6860824742268
950,695513,Zack Fair,Media Promos,Promo,179,167,8310.42,46.42692737430168
951,632197,Cecil Harvey - Tymna the Weaver (Showcase),FINAL FANTASY: Through the Ages,Rare,470,464,8285.75,17.629255319148935
952,589448,Twinflame Tyrant (Showcase),Foundations,Mythic,77,75,8285.68,107.60623376623377
953,686586,Plains (0267),Secrets of Strixhaven,Land,6778,2291,8276.01,1.2210106226025377
954,479312,All Will Be One,Phyrexia: All Will Be One,Mythic,480,470,8274.82,17.239208333333334
955,517547,Welcome to . . .,Universes Beyond: Jurassic World Collection,Rare,290,288,8274.17,28.531620689655174
956,662785,"Toph, Earthbending Master (Extended Art)",Avatar: The Last Airbender: Eternal-Legal,Mythic,167,167,8252.55,49.41646706586826
957,273798,Jeska's Will,Commander Legends: Battle for Baldur's Gate,Rare,196,190,8242.47,42.053418367346936
958,5321,Constant Mists,Stronghold,Uncommon,454,429,8242.0,18.154185022026432
959,243046,Circle of Dreams Druid,Adventures in the Forgotten Realms,Rare,602,584,8234.5,13.678571428571429
960,6667,Rishadan Port,Mercadian Masques,Rare,80,53,8234.4,102.92999999999999
961,679638,Undergrowth Stadium,Commander: Teenage Mutant Ninja Turtles,Rare,1510,1309,8232.74,5.452145695364238
